,PLA19C~1,
Raman shift [1/cm],Intensity,
2609.597,191.06312,
2606.686,194.76154,
2603.775,189.60516,
2600.865,194.71205,
2597.954,202.64586,
2595.044,197.41995,
2592.133,204.29059,
2589.223,208.47448,
2586.312,214.56221,
2583.401,207.51188,
2580.491,212.67308,
2577.580,196.1448,
2574.670,208.125,
2571.759,200.96833,
2568.848,203.35709,
2565.938,209.07731,
2563.027,214.83184,
2560.117,202.13433,
2557.206,228.863,
2554.296,217.498,
2551.385,216.67893,
2548.474,216.27333,
2545.564,222.06169,
2542.653,220.88339,
2539.743,212.10035,
2536.832,212.61472,
2533.922,218.34577,
2531.011,228.5503,
2528.100,220.19121,
2525.190,226.65902,
2522.279,218.10986,
2519.369,233.2951,
2516.458,222.68095,
2513.548,217.46144,
2510.637,228.55538,
2507.726,227.94283,
2504.816,221.6887,
2501.905,220.19756,
2498.995,220.02078,
2496.084,237.80446,
2493.173,231.20347,
2490.263,231.88886,
2487.352,233.5006,
2484.442,241.55541,
2481.531,237.49205,
2478.621,233.58945,
2475.710,243.125,
2472.799,241.15193,
2469.889,239.00312,
2466.978,244.56829,
2464.068,236.50592,
2461.157,225.50999,
2458.247,222.00729,
2455.336,229.63382,
2452.425,224.64385,
2449.515,238.45557,
2446.604,249.83702,
2443.694,238.96217,
2440.783,237.31532,
2437.872,246.52611,
2434.962,253.44759,
2432.051,241.17435,
2429.141,239.83676,
2426.230,241.05981,
2423.320,253.39665,
2420.409,244.125,
2417.498,252.50141,
2414.588,261.39495,
2411.677,251.77045,
2408.767,266.08957,
2405.856,259.93927,
2402.946,252.8569,
2400.035,241.83157,
2397.124,271.13569,
2394.214,280.747,
2391.303,273.94275,
2388.393,274.08316,
2385.482,264.6978,
2382.571,275.46687,
2379.661,278.45047,
2376.750,282.75804,
2373.840,274.98751,
2370.929,265.22247,
2368.019,278.3904,
2365.108,275.47317,
2362.197,280.93047,
2359.287,281.72166,
2356.376,283.12324,
2353.466,272.07872,
2350.555,286.8901,
2347.645,291.71705,
2344.734,282.66876,
2341.823,289.95917,
2338.913,294.19068,
2336.002,296.52933,
2333.092,293.25142,
2330.181,302.42421,
2327.270,297.56504,
2324.360,269.83013,
2321.449,294.63179,
2318.539,282.10359,
2315.628,298.56106,
2312.718,291.99283,
2309.807,297.49127,
2306.896,309.32217,
2303.986,294.7809,
2301.075,300.27394,
2298.165,280.76889,
2295.254,311.34945,
2292.344,289.22871,
2289.433,293.78136,
2286.522,296.77228,
2283.612,311.78573,
2280.701,310.93219,
2277.791,298.32537,
2274.880,307.61892,
2271.969,320.25669,
2269.059,311.33208,
2266.148,323.71598,
2263.238,323.72732,
2260.327,337.0214,
2257.417,323.54833,
2254.506,333.78884,
2251.595,332.4196,
2248.685,305.23853,
2245.774,326.05858,
2242.864,345.41179,
2239.953,334.21467,
2237.043,340.08677,
2234.132,345.8653,
2231.221,322.78125,
2228.311,338.74095,
2225.400,333.46274,
2222.490,343.45395,
2219.579,333.73167,
2216.669,343.05823,
2213.758,333.64262,
2210.847,343.69424,
2207.937,371.18849,
2205.026,395.12559,
2202.116,377.02734,
2199.205,383.49912,
2196.294,391.57103,
2193.384,404.01903,
2190.473,420.70481,
2187.563,412.241,
2184.652,436.87806,
2181.742,441.125,
2178.831,456.51417,
2175.920,473.79349,
2173.010,486.62613,
2170.099,497.32441,
2167.189,479.125,
2164.278,480.59234,
2161.368,505.40875,
2158.457,544.85412,
2155.546,534.71633,
2152.636,537.18349,
2149.725,571.91692,
2146.815,568.45869,
2143.904,582.13242,
2140.993,602.91862,
2138.083,608.4776,
2135.172,602.125,
2132.262,609.00968,
2129.351,593.4904,
2126.441,590.65899,
2123.530,582.63114,
2120.619,536.23521,
2117.709,512.85125,
2114.798,503.17506,
2111.888,476.78901,
2108.977,444.125,
2106.067,435.78284,
2103.156,434.00484,
2100.245,422.11183,
2097.335,400.40249,
2094.424,390.57736,
2091.514,381.13042,
2088.603,391.0743,
2085.692,403.94649,
2082.782,392.33396,
2079.871,384.125,
2076.961,390.67295,
2074.050,407.16742,
2071.140,355.40036,
2068.229,384.58725,
2065.318,382.39726,
2062.408,384.76873,
2059.497,375.125,
2056.587,383.63649,
2053.676,381.40868,
2050.766,367.20273,
2047.855,379.78325,
2044.944,367.19391,
2042.034,364.44296,
2039.123,380.90614,
2036.213,381.51162,
2033.302,380.08134,
2030.391,365.65109,
2027.481,367.74681,
2024.570,379.02484,
2021.660,372.59803,
2018.749,368.84682,
2015.839,386.31791,
2012.928,382.96393,
2010.017,387.17712,
2007.107,385.63715,
2004.196,382.47022,
2001.286,378.54196,
1998.375,380.125,
1995.465,385.63125,
1992.554,368.71928,
1989.643,379.64111,
1986.733,386.78728,
1983.822,363.97138,
1980.912,367.75855,
1978.001,364.37918,
1975.090,365.92958,
1972.180,366.53856,
1969.269,377.05031,
1966.359,388.31426,
1963.448,369.20954,
1960.538,369.2401,
1957.627,378.25813,
1954.716,404.3781,
1951.806,371.125,
1948.895,372.27276,
1945.985,374.40604,
1943.074,363.90341,
1940.164,379.18236,
1937.253,356.85968,
1934.342,351.52661,
1931.432,345.32058,
1928.521,364.0611,
1925.611,370.68346,
1922.700,367.75069,
1919.790,367.125,
1916.879,346.65949,
1913.968,372.0918,
1911.058,326.70159,
1908.147,363.92209,
1905.237,366.94116,
1902.326,362.87166,
1899.415,364.31523,
1896.505,344.04071,
1893.594,354.6677,
1890.684,351.34728,
1887.773,354.09886,
1884.863,381.89721,
1881.952,365.92277,
1879.041,359.42043,
1876.131,347.28056,
1873.220,331.92141,
1870.310,365.39848,
1867.399,329.74875,
1864.489,387.45043,
1861.578,347.80619,
1858.667,366.03217,
1855.757,374.73359,
1852.846,357.084,
1849.936,350.05391,
1847.025,388.4194,
1844.114,371.83554,
1841.204,357.69493,
1838.293,372.11835,
1835.383,387.60149,
1832.472,383.485,
1829.562,394.56667,
1826.651,376.72257,
1823.740,380.5963,
1820.830,400.24323,
1817.919,365.03493,
1815.009,392.08683,
1812.098,402.61319,
1809.188,341.21817,
1806.277,380.1512,
1803.366,415.67582,
1800.456,390.00431,
1797.545,402.45138,
1794.635,374.44797,
1791.724,372.53264,
1788.813,411.91446,
1785.903,395.07063,
1782.992,428.88351,
1780.082,383.34267,
1777.171,382.78613,
1774.261,379.64535,
1771.350,404.98025,
1768.439,410.74393,
1765.529,420.94164,
1762.618,419.82127,
1759.708,403.58127,
1756.797,398.48864,
1753.887,416.25328,
1750.976,387.64203,
1748.065,391.08813,
1745.155,414.42817,
1742.244,401.90945,
1739.334,439.68499,
1736.423,454.76613,
1733.512,424.47452,
1730.602,440.30559,
1727.691,416.1156,
1724.781,452.53302,
1721.870,416.839,
1718.960,435.54759,
1716.049,422.82858,
1713.138,437.07991,
1710.228,448.82797,
1707.317,460.73986,
1704.407,461.2266,
1701.496,467.50583,
1698.586,475.51688,
1695.675,457.41083,
1692.764,500.62093,
1689.854,499.29823,
1686.943,503.95637,
1684.033,504.125,
1681.122,484.46485,
1678.211,532.65865,
1675.301,525.14967,
1672.390,566.13098,
1669.480,568.22126,
1666.569,580.29005,
1663.659,593.58231,
1660.748,620.45014,
1657.837,586.628,
1654.927,609.52329,
1652.016,625.56612,
1649.106,604.27561,
1646.195,650.55657,
1643.285,668.39844,
1640.374,679.49783,
1637.463,650.89963,
1634.553,693.258,
1631.642,703.21079,
1628.732,802.16055,
1625.821,808.14986,
1622.911,845.91087,
1620.000,903.39427,
1617.089,964.89117,
1614.179,1043.8689,
1611.268,1077.8981,
1608.358,1112.4862,
1605.447,1189.5542,
1602.536,1160.5771,
1599.626,1200.4419,
1596.715,1196.8642,
1593.805,1169.295,
1590.894,1174.051,
1587.984,1118.829,
1585.073,1139.0528,
1582.162,1130.7668,
1579.252,1117.4871,
1576.341,1082.2814,
1573.431,1079.6072,
1570.520,1079.5962,
1567.610,1099.9881,
1564.699,1053.4728,
1561.788,1038.0545,
1558.878,973.89697,
1555.967,984.74688,
1553.057,987.62519,
1550.146,942.71053,
1547.235,925.84761,
1544.325,909.89692,
1541.414,899.44546,
1538.504,889.76613,
1535.593,869.82128,
1532.683,879.58198,
1529.772,886.32522,
1526.861,860.48076,
1523.951,837.94338,
1521.040,814.67158,
1518.130,808.30611,
1515.219,809.20529,
1512.309,794.66553,
1509.398,779.83605,
1506.487,779.65232,
1503.577,803.21102,
1500.666,815.52876,
1497.756,771.27756,
1494.845,772.32456,
1491.934,753.1691,
1489.024,766.644,
1486.113,729.10916,
1483.203,737.67118,
1480.292,739.125,
1477.382,693.05485,
1474.471,702.07685,
1471.560,706.67367,
1468.650,695.87589,
1465.739,687.28206,
1462.829,692.88363,
1459.918,664.97554,
1457.008,664.52534,
1454.097,678.10889,
1451.186,685.3339,
1448.276,700.7352,
1445.365,670.98124,
1442.455,666.95799,
1439.544,685.125,
1436.633,684.77545,
1433.723,685.99132,
1430.812,702.94805,
1427.902,662.31321,
1424.991,628.19376,
1422.081,645.47454,
1419.170,637.62034,
1416.259,643.41557,
1413.349,604.34198,
1410.438,614.21773,
1407.528,611.25017,
1404.617,608.2349,
1401.707,632.85256,
1398.796,650.70892,
1395.885,645.4045,
1392.975,640.83336,
1390.064,645.65671,
1387.154,633.09553,
1384.243,562.57299,
1381.332,553.24369,
1378.422,542.08601,
1375.511,618.90205,
1372.601,682.79178,
1369.690,730.1289,
1366.780,752.9657,
1363.869,757.85148,
1360.958,742.27981,
1358.048,752.51767,
1355.137,783.52394,
1352.227,775.87649,
1349.316,804.67169,
1346.406,886.18426,
1343.495,865.13196,
1340.584,861.80338,
1337.674,878.52024,
1334.763,915.125,
1331.853,915.125,
1328.942,924.01964,
1326.032,938.99055,
1323.121,954.7214,
1320.210,979.76854,
1317.300,968.28641,
1314.389,962.88908,
1311.479,962.51342,
1308.568,948.68824,
1305.657,962.70149,
1302.747,998.04834,
1299.836,982.28728,
1296.926,1069.595,
