,PL9DD1~1,
Wavenumbers [1/cm],Intensity,
2175.920,458.57469,
2173.010,490.42687,
2170.099,489.10119,
2167.189,475.58611,
2164.278,488.23367,
2161.368,493.35704,
2158.457,490.8401,
2155.546,501.87792,
2152.636,518.98403,
2149.725,523.82886,
2146.815,515.80032,
2143.904,539.60408,
2140.993,546.24078,
2138.083,549.36011,
2135.172,573.0042,
2132.262,561.23416,
2129.351,546.94823,
2126.441,547.15049,
2123.530,540.70203,
2120.619,553.27086,
2117.709,512.062,
2114.798,489.6654,
2111.888,489.96257,
2108.977,490.40729,
2106.067,475.57407,
2103.156,471.37984,
2100.245,465.50188,
2097.335,469.70419,
2094.424,479.21805,
2091.514,475.42199,
2088.603,467.34791,
2085.692,469.31785,
2082.782,488.99787,
2079.871,494.21412,
2076.961,482.27493,
2074.050,488.48182,
2071.140,467.69547,
2068.229,465.67708,
2065.318,463.46224,
2062.408,464.28819,
2059.497,489.92264,
2056.587,474.80269,
2053.676,481.83234,
2050.766,479.96188,
2047.855,448.5,
2044.944,449.03205,
2042.034,456.76595,
2039.123,479.34175,
2036.213,483.6755,
2033.302,485.97798,
2030.391,472.51774,
2027.481,481.79245,
2024.570,492.18567,
2021.660,445.45646,
2018.749,479.80392,
2015.839,487.09646,
2012.928,482.43121,
2010.017,478.09718,
2007.107,481.82523,
2004.196,486.15478,
2001.286,493.10424,
1998.375,469.14467,
1995.465,471.08571,
1992.554,499.04096,
1989.643,476.43322,
1986.733,444.44649,
1983.822,452.52806,
1980.912,493.60779,
1978.001,452.14379,
1975.090,466.89084,
1972.180,463.74203,
1969.269,461.02875,
1966.359,433.36446,
1963.448,439.8765,
1960.538,452.55755,
1957.627,443.69194,
1954.716,436.67236,
1951.806,449.35097,
1948.895,445.98989,
1945.985,442.0915,
1943.074,450.31534,
1940.164,458.77847,
1937.253,425.91745,
1934.342,438.13261,
1931.432,454.65457,
1928.521,439.91451,
1925.611,437.98695,
1922.700,449.99724,
1919.790,429.24593,
1916.879,406.89499,
1913.968,434.46434,
1911.058,437.9054,
1908.147,427.10874,
1905.237,413.48531,
1902.326,430.46591,
1899.415,444.67437,
1896.505,406.05402,
1893.594,392.31102,
1890.684,399.27129,
1887.773,410.98229,
1884.863,428.32688,
1881.952,433.28997,
1879.041,436.01298,
1876.131,441.38627,
1873.220,441.62832,
1870.310,453.56724,
1867.399,436.78788,
1864.489,407.66831,
1861.578,437.0604,
1858.667,442.20659,
1855.757,437.71002,
1852.846,433.28459,
1849.936,447.15166,
1847.025,420.15209,
1844.114,420.83655,
1841.204,459.55944,
1838.293,467.99418,
1835.383,460.02351,
1832.472,477.78,
1829.562,488.83437,
1826.651,455.78135,
1823.740,459.9713,
1820.830,461.09838,
1817.919,470.08689,
1815.009,438.25064,
1812.098,456.73621,
1809.188,465.12789,
1806.277,440.07543,
1803.366,436.98245,
1800.456,467.53342,
1797.545,501.11709,
1794.635,488.91902,
1791.724,496.51944,
1788.813,490.90566,
1785.903,500.29269,
1782.992,472.96349,
1780.082,448.00153,
1777.171,350.47695,
1774.261,294.0656,
1771.350,376.36851,
1768.439,458.82409,
1765.529,498.31664,
1762.618,501.06127,
1759.708,489.97802,
1756.797,516.52273,
1753.887,534.1137,
1750.976,527.47251,
1748.065,534.65668,
1745.155,530.94518,
1742.244,528.83786,
1739.334,531.92353,
1736.423,541.27195,
1733.512,529.21947,
1730.602,546.68853,
1727.691,535.30849,
1724.781,580.62748,
1721.870,547.01877,
1718.960,574.96714,
1716.049,567.55948,
1713.138,573.90495,
1710.228,561.57525,
1707.317,582.49886,
1704.407,563.04007,
1701.496,579.6425,
1698.586,561.17234,
1695.675,594.12122,
1692.764,583.24589,
1689.854,582.5,
1686.943,561.24196,
1684.033,587.80459,
1681.122,598.33008,
1678.211,642.08124,
1675.301,656.45683,
1672.390,622.49103,
1669.480,619.87703,
1666.569,666.89357,
1663.659,697.41834,
1660.748,692.46144,
1657.837,690.76244,
1654.927,703.34345,
1652.016,738.01402,
1649.106,719.16099,
1646.195,746.29122,
1643.285,778.43164,
1640.374,775.83449,
1637.463,791.46397,
1634.553,790.49012,
1631.642,857.09718,
1628.732,911.67776,
1625.821,941.52552,
1622.911,980.28023,
1620.000,1015.059,
1617.089,1131.1517,
1614.179,1194.7233,
1611.268,1261.9719,
1608.358,1285.4699,
1605.447,1399.6438,
1602.536,1399.0449,
1599.626,1410.4591,
1596.715,1413.3152,
1593.805,1388.4587,
1590.894,1367.8866,
1587.984,1370.6966,
1585.073,1305.1363,
1582.162,1278.4721,
1579.252,1255.0425,
1576.341,1232.0755,
1573.431,1218.8851,
1570.520,1172.9305,
1567.610,1178.1277,
1564.699,1157.6739,
1561.788,1107.3595,
1558.878,1121.9071,
1555.967,1090.2535,
1553.057,1060.7587,
1550.146,1044.5946,
1547.235,998.12878,
1544.325,1007.694,
1541.414,1046.8412,
1538.504,1045.1963,
1535.593,1027.1963,
1532.683,1011.6903,
1529.772,1008.1062,
1526.861,1002.2232,
1523.951,1003.7451,
1521.040,1027.8526,
1518.130,1023.8836,
1515.219,1056.1006,
1512.309,1024.8378,
1509.398,992.9221,
1506.487,985.31093,
1503.577,994.67563,
1500.666,1000.6046,
1497.756,993.19488,
1494.845,990.70066,
1491.934,1019.2417,
1489.024,940.31731,
1486.113,986.64242,
1483.203,977.17748,
1480.292,948.34763,
1477.382,962.89796,
1474.471,914.55085,
1471.560,901.40266,
1468.650,904.54982,
1465.739,893.97118,
1462.829,901.2268,
1459.918,943.64946,
1457.008,953.74594,
1454.097,944.43237,
1451.186,954.99516,
1448.276,934.517,
1445.365,888.03476,
1442.455,869.12037,
1439.544,850.39737,
1436.633,852.45134,
1433.723,847.99849,
1430.812,849.94847,
1427.902,830.74805,
1424.991,841.17343,
1422.081,806.63587,
1419.170,813.00466,
1416.259,801.53899,
1413.349,812.09434,
1410.438,827.69647,
1407.528,806.10659,
1404.617,801.48118,
1401.707,777.23351,
1398.796,728.2588,
1395.885,721.44896,
1392.975,716.45712,
1390.064,677.92115,
1387.154,703.15357,
1384.243,667.84396,
1381.332,645.94266,
1378.422,649.21017,
1375.511,643.58948,
1372.601,723.67662,
1369.690,753.64501,
1366.780,768.58849,
1363.869,769.32057,
1360.958,827.25925,
1358.048,837.92071,
1355.137,872.33725,
1352.227,895.82668,
1349.316,904.7728,
1346.406,962.84418,
1343.495,970.77698,
1340.584,953.74956,
1337.674,982.9288,
1334.763,988.08784,
1331.853,1029.8132,
1328.942,1054.6261,
1326.032,1035.4782,
1323.121,1054.2109,
1320.210,1103.7871,
1317.300,1119.7781,
1314.389,1138.5977,
1311.479,1170.8591,
1308.568,1172.9283,
1305.657,1164.5479,
1302.747,1223.7519,
1299.836,1318.0799,
1296.926,1336.2009,
1294.015,1329.7656,
1291.105,1340.0665,
1288.194,1417.3806,
1285.283,1430.772,
1282.373,1423.4375,
1279.462,1446.3034,
1276.552,1479.1142,
1273.641,1489.0835,
1270.731,1489.9687,
1267.820,1502.5917,
1264.909,1490.8955,
1261.999,1486.2337,
1259.088,1478.9367,
1256.178,1498.1985,
1253.267,1440.1244,
1250.356,1407.2777,
1247.446,1433.9434,
1244.535,1438.6697,
1241.625,1401.3334,
1238.714,1382.284,
1235.804,1390.7622,
1232.893,1364.9915,
1229.982,1403.3467,
1227.072,1398.8201,
1224.161,1370.7634,
1221.251,1349.8653,
1218.340,1282.9579,
1215.430,1302.3514,
1212.519,1326.9369,
1209.608,1292.8056,
1206.698,1263.3296,
1203.787,1246.5101,
1200.877,1285.3358,
1197.966,1298.8232,
1195.055,1315.7117,
1192.145,1397.3911,
1189.234,1453.3444,
1186.324,1480.4101,
1183.413,1501.4239,
1180.503,1524.5941,
1177.592,1532.6008,
1174.681,1503.2055,
1171.771,1480.2733,
1168.860,1470.4494,
1165.950,1417.8975,
1163.039,1439.7217,
1160.129,1442.7029,
1157.218,1468.6323,
1154.307,1507.7262,
1151.397,1512.5427,
1148.486,1521.3444,
1145.576,1553.4207,
1142.665,1528.5591,
1139.754,1520.8046,
1136.844,1492.1882,
1133.933,1486.3651,
1131.023,1472.0883,
1128.112,1455.7851,
1125.202,1458.186,
1122.291,1446.5135,
1119.380,1481.8378,
1116.470,1516.2564,
1113.559,1458.6401,
1110.649,1433.9515,
1107.738,1427.8209,
1104.828,1440.4796,
1101.917,1456.4702,
1099.006,1447.8298,
1096.096,1460.7048,
1093.185,1415.0487,
1090.275,1443.0615,
1087.364,1447.0694,
1084.453,1461.249,
1081.543,1476.5675,
1078.632,1477.9928,
1075.722,1485.6642,
1072.811,1538.1563,
1069.901,1477.0281,
1066.990,1449.0584,
1064.079,1470.04,
1061.169,1483.0523,
1058.258,1485.1939,
1055.348,1498.6704,
1052.437,1522.0562,
1049.527,1505.272,
1046.616,1525.2551,
1043.705,1532.8954,
1040.795,1516.6219,
1037.884,1527.2352,
1034.974,1532.9755,
1032.063,1509.2154,
1029.153,1510.2537,
1026.242,1499.8742,
1023.331,1503.6664,
1020.421,1549.1145,
1017.510,1560.0959,
1014.600,1566.6108,
1011.689,1581.9344,
1008.778,1575.0602,
1005.868,1572.8321,
1002.957,1609.8273,
1000.047,1654.812,
997.136,1684.7705,
994.226,1695.5,
991.315,1697.6312,
988.404,1696.339,
985.494,1663.7328,
982.583,1629.4706,
979.673,1612.062,
976.762,1616.3065,
973.852,1608.7977,
970.941,1596.8349,
968.030,1604.6907,
965.120,1577.7148,
962.209,1628.8673,
959.299,1641.0412,
956.388,1629.0609,
953.477,1633.708,
950.567,1663.3427,
947.656,1686.0571,
944.746,1690.3048,
941.835,1667.8252,
938.925,1688.822,
936.014,1678.7262,
933.103,1651.9691,
930.193,1651.6925,
927.282,1673.292,
924.372,1614.0995,
921.461,1613.864,
918.551,1608.3669,
915.640,1597.8256,
912.729,1597.4038,
909.819,1615.1681,
906.908,1627.8044,
903.998,1614.1834,
901.087,1608.5905,
898.176,1611.7948,
895.266,1630.783,
892.355,1659.1441,
889.445,1646.5551,
886.534,1699.0969,
883.624,1707.4815,
880.713,1693.7411,
877.802,1672.8152,
874.892,1633.1515,
871.981,1525.8503,
869.071,1371.2989,
866.160,1370.7185,
863.250,1469.5177,
860.339,1564.9668,
857.428,1604.4481,
854.518,1645.4408,
851.607,1608.8298,
848.697,1545.4112,
845.786,1487.3241,
842.875,1499.0963,
839.965,1596.7967,
837.054,1689.5279,
834.144,1692.0142,
831.233,1709.8321,
828.323,1723.9403,
825.412,1729.178,
822.501,1732.8193,
819.591,1756.7848,
816.680,1704.6153,
813.770,1704.6566,
810.859,1697.6091,
807.949,1677.2951,
805.038,1670.4049,
802.127,1661.3505,
799.217,1647.8284,
796.306,1653.1487,
793.396,1668.6757,
790.485,1679.1836,
787.574,1671.0605,
784.664,1685.8225,
781.753,1685.1451,
778.843,1680.0694,
775.932,1699.0305,
773.022,1741.1314,
770.111,1687.1712,
767.200,1686.5452,
764.290,1688.6558,
761.379,1697.3774,
758.469,1719.9633,
755.558,1758.722,
752.648,1732.6547,
749.737,1704.6524,
746.826,1674.3174,
743.916,1656.5715,
741.005,1661.8406,
738.095,1638.2961,
735.184,1609.7579,
732.274,1542.7031,
729.363,1514.0274,
726.452,1561.7159,
723.542,1579.5226,
720.631,1649.3085,
717.721,1671.0728,
714.810,1691.2953,
711.899,1723.8762,
708.989,1725.4901,
706.078,1719.0896,
703.168,1704.1411,
700.257,1707.052,
697.347,1728.4995,
694.436,1745.278,
691.525,1700.2649,
688.615,1698.6758,
685.704,1700.9098,
682.794,1706.8616,
679.883,1737.9686,
676.973,1748.3864,
674.062,1756.8808,
671.151,1749.1034,
668.241,1739.0267,
665.330,1752.3277,
662.420,1727.567,
659.509,1684.4041,
656.598,1685.8685,
653.688,1719.2605,
650.777,1728.365,
647.867,1724.3833,
644.956,1707.4021,
642.046,1665.9905,
639.135,1627.1594,
636.224,1648.8143,
633.314,1711.5355,
630.403,1723.9527,
627.493,1722.6522,
624.582,1722.9109,
621.672,1715.7829,
618.761,1723.8593,
615.850,1750.7435,
612.940,1792.0167,
610.029,1834.1576,
607.119,1838.1058,
604.208,1866.9005,
601.297,1885.9778,
598.387,1870.5694,
595.476,1815.2084,
592.566,1833.311,
589.655,1855.9367,
586.745,1864.7641,
583.834,1862.2804,
580.923,1861.5426,
578.013,1868.6053,
575.102,1845.8357,
572.192,1836.4321,
569.281,1851.6564,
566.371,1846.9607,
563.460,1886.0062,
560.549,1901.5254,
557.639,1912.0482,
554.728,1942.0219,
551.818,1918.6124,
548.907,1893.9988,
545.996,1868.6699,
543.086,1846.6546,
540.175,1838.0895,
537.265,1858.5041,
534.354,1862.4865,
531.444,1851.8122,
528.533,1838.142,
525.622,1889.3545,
522.712,1866.5218,
519.801,1836.4805,
516.891,1823.5,
513.980,1823.5,
511.070,1832.6565,
508.159,1836.0224,
505.248,1840.5072,
502.338,1856.8103,
499.427,1901.5766,
496.517,1899.9243,
493.606,1887.1446,
490.695,1887.6353,
487.785,1924.5852,
484.874,1876.8634,
481.964,1861.2042,
479.053,1877.926,
476.143,1867.1745,
473.232,1875.1328,
470.321,1874.1208,
467.411,1873.8054,
464.500,1886.597,
461.590,1890.4257,
458.679,1891.5,
455.769,1889.9247,
452.858,1890.0791,
449.947,1924.456,
447.037,1879.3186,
444.126,1862.1364,
441.216,1889.9708,
438.305,1886.9231,
435.395,1904.2022,
432.484,1906.4152,
429.573,1886.9149,
426.663,1845.8673,
423.752,1711.3852,
420.842,1513.8407,
417.931,1320.8592,
415.020,1230.6146,
412.110,1490.1491,
409.199,1750.314,
406.289,1911.9068,
403.378,1882.3053,
400.468,1824.8498,
397.557,1789.5331,
394.646,1793.7009,
391.736,1850.504,
388.825,1913.1052,
385.915,1891.5855,
383.004,1866.2085,
380.094,1892.8801,
377.183,1939.5337,
374.272,1936.7594,
371.362,1950.8724,
368.451,2014.3116,
365.541,1978.2859,
362.630,1978.3323,
359.719,1974.0694,
356.809,1943.8657,
353.898,1933.3825,
