,PL6A2C~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.875,
3011.256,1.0249785,
3008.346,39.884377,
3005.435,20.011929,
3002.525,38.25755,
2999.614,37.788645,
2996.704,43.125,
2993.793,35.60196,
2990.882,49.735705,
2987.972,63.908066,
2985.061,30.878707,
2982.151,50.170384,
2979.240,38.988095,
2976.329,57.373635,
2973.419,55.094449,
2970.508,55.37495,
2967.598,43.316165,
2964.687,54.288722,
2961.777,47.629126,
2958.866,63.466747,
2955.955,54.401546,
2953.045,58.444937,
2950.134,73.028771,
2947.224,54.466626,
2944.313,65.67557,
2941.403,62.517792,
2938.492,65.837736,
2935.581,75.689396,
2932.671,67.691583,
2929.760,86.155746,
2926.850,79.75921,
2923.939,73.564247,
2921.028,80.748576,
2918.118,85.485202,
2915.207,71.821013,
2912.297,77.057299,
2909.386,77.139594,
2906.476,73.450855,
2903.565,83.303527,
2900.654,77.359561,
2897.744,86.6724,
2894.833,57.722816,
2891.923,73.612203,
2889.012,60.743499,
2886.102,80.916893,
2883.191,41.161817,
2880.280,70.378586,
2877.370,-31.985158,
2874.459,-43.044901,
2871.549,-28.453584,
2868.638,46.630111,
2865.727,43.125,
2862.817,73.726578,
2859.906,64.201913,
2856.996,84.64085,
2854.085,107.53261,
2851.175,73.173183,
2848.264,90.894827,
2845.353,89.017165,
2842.443,79.732659,
2839.532,73.125,
2836.622,87.091148,
2833.711,81.168971,
2830.801,90.225735,
2827.890,86.563823,
2824.979,95.050987,
2822.069,104.14774,
2819.158,100.04413,
2816.248,88.63079,
2813.337,105.85672,
2810.427,92.426649,
2807.516,90.391251,
2804.605,95.168274,
2801.695,93.506559,
2798.784,98.164,
2795.874,82.679066,
2792.963,87.553295,
2790.052,108.11921,
2787.142,99.164578,
2784.231,93.803592,
2781.321,106.55926,
2778.410,98.125,
2775.500,111.14465,
2772.589,104.9331,
2769.678,113.44581,
2766.768,101.51527,
2763.857,97.178951,
2760.947,99.068262,
2758.036,105.3735,
2755.126,104.07586,
2752.215,109.18865,
2749.304,105.76349,
2746.394,101.26404,
2743.483,130.72497,
2740.573,119.26873,
2737.662,106.43418,
2734.751,92.357976,
2731.841,114.63966,
2728.930,102.5147,
2726.020,120.01273,
2723.109,111.14575,
2720.199,121.89071,
2717.288,106.86222,
2714.377,101.51254,
2711.467,116.74807,
2708.556,116.33763,
2705.646,116.05456,
2702.735,120.6379,
2699.825,127.25589,
2696.914,125.98228,
2694.003,133.125,
2691.093,129.5534,
2688.182,121.30648,
2685.272,114.92158,
2682.361,125.30731,
2679.450,131.3719,
2676.540,115.38921,
2673.629,123.14745,
2670.719,125.32926,
2667.808,116.90317,
2664.898,131.90418,
2661.987,130.15826,
2659.076,129.74353,
2656.166,127.77003,
2653.255,132.38181,
2650.345,139.125,
2647.434,130.26847,
2644.524,142.70049,
2641.613,142.58258,
2638.702,143.23547,
2635.792,133.65541,
2632.881,134.92866,
2629.971,131.125,
2627.060,141.95719,
2624.149,144.69376,
2621.239,139.37945,
2618.328,126.59126,
2615.418,140.11137,
2612.507,147.3661,
2609.597,139.95135,
2606.686,142.65714,
2603.775,149.28373,
2600.865,148.94754,
2597.954,139.69997,
2595.044,150.79462,
2592.133,140.95293,
2589.223,151.17344,
2586.312,162.63756,
2583.401,151.6578,
2580.491,139.48076,
2577.580,164.06064,
2574.670,130.10627,
2571.759,152.48373,
2568.848,143.66083,
2565.938,153.41069,
2563.027,158.68635,
2560.117,143.42402,
2557.206,161.95894,
2554.296,148.95338,
2551.385,152.50504,
2548.474,175.71794,
2545.564,175.37824,
2542.653,162.75587,
2539.743,171.7051,
2536.832,151.53247,
2533.922,175.17231,
2531.011,179.22491,
2528.100,170.92984,
2525.190,172.98361,
2522.279,175.64088,
2519.369,182.80445,
2516.458,158.44653,
2513.548,175.87002,
2510.637,182.69462,
2507.726,173.93912,
2504.816,170.81271,
2501.905,184.29878,
2498.995,182.18472,
2496.084,179.75216,
2493.173,163.83526,
2490.263,164.30467,
2487.352,192.16673,
2484.442,185.15072,
2481.531,177.76317,
2478.621,182.21502,
2475.710,199.16334,
2472.799,198.69905,
2469.889,180.18594,
2466.978,189.67128,
2464.068,193.16732,
2461.157,190.77753,
2458.247,185.55148,
2455.336,187.44398,
2452.425,180.99292,
2449.515,186.7196,
2446.604,195.30474,
2443.694,182.56659,
2440.783,194.93806,
2437.872,203.43217,
2434.962,185.125,
2432.051,188.53864,
2429.141,202.80133,
2426.230,194.97249,
2423.320,203.5391,
2420.409,209.61221,
2417.498,214.9031,
2414.588,209.49767,
2411.677,189.23257,
2408.767,196.17224,
2405.856,222.19635,
2402.946,213.48157,
2400.035,216.50999,
2397.124,203.92178,
2394.214,218.4494,
2391.303,219.66091,
2388.393,202.20868,
2385.482,208.5522,
2382.571,187.7447,
2379.661,200.17162,
2376.750,190.70381,
2373.840,201.32183,
