,PL6C9F~1,
Wavenumbers [1/cm],Intensity,
2175.920,239.78803,
2173.010,255.45096,
2170.099,260.125,
2167.189,257.39049,
2164.278,290.30992,
2161.368,265.2682,
2158.457,258.97225,
2155.546,269.09425,
2152.636,251.03996,
2149.725,258.43371,
2146.815,278.55773,
2143.904,274.43354,
2140.993,293.96099,
2138.083,292.67818,
2135.172,292.66279,
2132.262,282.49208,
2129.351,288.18712,
2126.441,299.95998,
2123.530,296.13622,
2120.619,295.74891,
2117.709,280.00544,
2114.798,257.40574,
2111.888,251.58757,
2108.977,259.66143,
2106.067,251.4742,
2103.156,271.76038,
2100.245,247.13253,
2097.335,257.92081,
2094.424,251.75784,
2091.514,254.76205,
2088.603,245.59965,
2085.692,243.7607,
2082.782,253.43417,
2079.871,257.30353,
2076.961,264.60838,
2074.050,248.22197,
2071.140,248.67684,
2068.229,250.92185,
2065.318,268.70449,
2062.408,252.66282,
2059.497,268.76193,
2056.587,259.13698,
2053.676,249.30838,
2050.766,245.43292,
2047.855,267.92565,
2044.944,260.59295,
2042.034,256.41401,
2039.123,257.86574,
2036.213,258.04941,
2033.302,270.32033,
2030.391,261.07489,
2027.481,261.00291,
2024.570,256.01098,
2021.660,245.65716,
2018.749,284.17524,
2015.839,259.45243,
2012.928,260.18205,
2010.017,273.87853,
2007.107,264.61285,
2004.196,262.14881,
2001.286,268.56315,
1998.375,272.82087,
1995.465,243.23393,
1992.554,231.61915,
1989.643,274.56963,
1986.733,251.05482,
1983.822,235.65159,
1980.912,250.97599,
1978.001,226.67602,
1975.090,229.88379,
1972.180,242.2633,
1969.269,244.35203,
1966.359,235.5032,
1963.448,240.54376,
1960.538,224.02575,
1957.627,243.19932,
1954.716,222.81444,
1951.806,214.96953,
1948.895,231.25253,
1945.985,236.82271,
1943.074,238.2987,
1940.164,203.30788,
1937.253,214.25117,
1934.342,206.60361,
1931.432,221.44361,
1928.521,221.13709,
1925.611,213.40423,
1922.700,234.49378,
1919.790,213.42588,
1916.879,216.567,
1913.968,204.14098,
1911.058,250.26614,
1908.147,236.26513,
1905.237,218.76467,
1902.326,206.35461,
1899.415,212.11399,
1896.505,180.5227,
1893.594,189.21949,
1890.684,196.06608,
1887.773,211.43529,
1884.863,220.77876,
1881.952,226.51999,
1879.041,221.07308,
1876.131,246.81388,
1873.220,235.6913,
1870.310,254.47474,
1867.399,249.23696,
1864.489,215.78704,
1861.578,233.24579,
1858.667,237.66995,
1855.757,203.51283,
1852.846,221.89934,
1849.936,224.93983,
1847.025,194.53863,
1844.114,202.21917,
1841.204,239.20542,
1838.293,244.64246,
1835.383,245.05499,
1832.472,261.24152,
1829.562,245.04453,
1826.651,232.44122,
1823.740,240.86065,
1820.830,221.74685,
1817.919,224.08314,
1815.009,210.71279,
1812.098,239.5423,
1809.188,245.00096,
1806.277,236.32419,
1803.366,239.37637,
1800.456,197.92782,
1797.545,247.23133,
1794.635,258.77001,
1791.724,265.2706,
1788.813,276.52551,
1785.903,267.10376,
1782.992,237.29492,
1780.082,224.90254,
1777.171,124.10731,
1774.261,95.720758,
1771.350,179.72526,
1768.439,230.68135,
1765.529,261.125,
1762.618,275.61878,
1759.708,263.02689,
1756.797,259.25379,
1753.887,275.74016,
1750.976,276.0733,
1748.065,278.125,
1745.155,282.59594,
1742.244,290.42209,
1739.334,284.22383,
1736.423,305.56048,
1733.512,284.10865,
1730.602,305.78576,
1727.691,310.21606,
1724.781,292.39347,
1721.870,289.73453,
1718.960,316.43643,
1716.049,312.89628,
1713.138,288.89511,
1710.228,283.38441,
1707.317,310.54671,
1704.407,298.85225,
1701.496,291.65571,
1698.586,304.98477,
1695.675,322.96776,
1692.764,284.36268,
1689.854,256.29428,
1686.943,330.4944,
1684.033,328.24918,
