,PLDA91~1,
Raman shift [1/cm],Intensity,
2173.010,957.40108,
2170.099,986.02233,
2167.189,1031.7613,
2164.278,1048.8642,
2161.368,1052.6233,
2158.457,1094.8267,
2155.546,1105.7462,
2152.636,1150.5238,
2149.725,1181.276,
2146.815,1226.1568,
2143.904,1244.0302,
2140.993,1265.0058,
2138.083,1299.1903,
2135.172,1310.625,
2132.262,1300.6109,
2129.351,1285.5629,
2126.441,1238.4501,
2123.530,1216.0526,
2120.619,1160.1206,
2117.709,1105.8484,
2114.798,1044.798,
2111.888,1007.4387,
2108.977,962.1879,
2106.067,912.18936,
2103.156,909.30319,
2100.245,866.60994,
2097.335,841.78207,
2094.424,828.20517,
2091.514,803.19488,
2088.603,809.16874,
2085.692,814.48748,
2082.782,815.15911,
2079.871,817.44647,
2076.961,795.17487,
2074.050,834.21894,
2071.140,804.53321,
2068.229,795.25781,
2065.318,804.21801,
2062.408,809.16282,
2059.497,790.99402,
2056.587,788.4272,
2053.676,772.84281,
2050.766,781.54727,
2047.855,765.02371,
2044.944,779.42307,
2042.034,780.59604,
2039.123,776.80682,
2036.213,789.31831,
2033.302,778.27724,
2030.391,772.0488,
2027.481,787.7346,
2024.570,802.89618,
2021.660,794.27542,
2018.749,763.49878,
2015.839,787.5082,
2012.928,796.40688,
2010.017,791.14401,
2007.107,797.182,
2004.196,783.48212,
2001.286,780.04196,
1998.375,793.45473,
1995.465,802.55804,
1992.554,757.17246,
1989.643,787.31158,
1986.733,775.60833,
1983.822,757.625,
1980.912,759.67467,
1978.001,761.6083,
1975.090,753.81279,
1972.180,751.38432,
1969.269,760.60782,
1966.359,771.67903,
1963.448,775.00809,
1960.538,757.14877,
1957.627,751.73336,
1954.716,756.48137,
1951.806,725.36373,
1948.895,764.74636,
1945.985,790.89787,
1943.074,738.03815,
1940.164,756.06723,
1937.253,760.38564,
1934.342,763.02661,
1931.432,733.7291,
1928.521,740.10687,
1925.611,736.20956,
1922.700,712.42197,
1919.790,728.29529,
1916.879,737.2065,
1913.968,709.65943,
1911.058,706.47486,
1908.147,734.75057,
1905.237,743.26467,
1902.326,725.84425,
1899.415,733.68841,
1896.505,718.57672,
1893.594,721.2531,
1890.684,727.29827,
1887.773,725.711,
1884.863,736.72751,
1881.952,729.1626,
1879.041,726.89447,
1876.131,711.33742,
1873.220,727.67375,
1870.310,746.40524,
1867.399,732.8649,
1864.489,738.61247,
1861.578,715.30619,
1858.667,731.91841,
1855.757,740.20137,
1852.846,762.6045,
1849.936,755.76413,
1847.025,763.39143,
1844.114,739.12847,
1841.204,731.31381,
1838.293,746.13415,
1835.383,769.04297,
1832.472,761.78674,
1829.562,789.17397,
1826.651,754.40126,
1823.740,772.9431,
1820.830,788.31002,
1817.919,794.14001,
1815.009,779.35656,
1812.098,798.16829,
1809.188,749.03597,
1806.277,757.35942,
1803.366,788.10928,
1800.456,757.625,
1797.545,760.94398,
1794.635,791.81897,
1791.724,787.54722,
1788.813,818.41317,
1785.903,787.72186,
1782.992,801.9916,
1780.082,789.0351,
1777.171,797.2931,
1774.261,823.79543,
1771.350,857.459,
1768.439,843.68758,
1765.529,854.35655,
1762.618,860.85058,
1759.708,835.55975,
1756.797,827.24621,
1753.887,819.8043,
1750.976,798.7559,
1748.065,820.03359,
1745.155,840.98629,
1742.244,824.07158,
1739.334,881.35675,
1736.423,877.71103,
1733.512,863.625,
1730.602,898.7818,
1727.691,860.72706,
1724.781,903.04509,
1721.870,893.67724,
1718.960,904.06964,
1716.049,890.00653,
1713.138,919.96984,
1710.228,896.0349,
1707.317,934.08443,
1704.407,886.61957,
1701.496,888.82893,
1698.586,905.33274,
1695.675,917.8535,
1692.764,962.1742,
1689.854,981.84548,
1686.943,976.82735,
1684.033,1011.7309,
1681.122,999.8459,
1678.211,1017.4537,
1675.301,1030.5849,
1672.390,1039.6071,
1669.480,1034.1625,
1666.569,1101.0694,
1663.659,1136.2456,
1660.748,1173.2972,
1657.837,1157.2811,
1654.927,1186.8827,
1652.016,1197.7465,
1649.106,1205.5627,
1646.195,1322.4332,
1643.285,1314.6706,
1640.374,1316.3741,
1637.463,1306.1923,
1634.553,1391.8467,
1631.642,1407.3851,
1628.732,1476.8146,
1625.821,1508.6976,
1622.911,1618.9995,
1620.000,1729.2265,
1617.089,1857.0578,
1614.179,1942.2279,
1611.268,2054.3867,
1608.358,2163.4745,
1605.447,2244.997,
1602.536,2239.3742,
1599.626,2301.1804,
1596.715,2355.6355,
1593.805,2315.0141,
1590.894,2307.8637,
1587.984,2254.7934,
1585.073,2214.294,
1582.162,2245.36,
1579.252,2147.8825,
1576.341,2119.0176,
1573.431,2120.7577,
1570.520,2103.28,
1567.610,2100.6054,
1564.699,2071.1737,
1561.788,2023.0056,
1558.878,1961.1971,
1555.967,1940.2857,
1553.057,1895.9703,
1550.146,1847.2723,
1547.235,1794.8441,
1544.325,1769.1905,
1541.414,1745.8625,
1538.504,1743.0943,
1535.593,1735.7662,
1532.683,1719.8129,
1529.772,1718.5502,
1526.861,1701.418,
1523.951,1686.2071,
1521.040,1641.3579,
1518.130,1608.2842,
1515.219,1601.0671,
1512.309,1545.7106,
1509.398,1592.4616,
1506.487,1557.9166,
1503.577,1541.7684,
1500.666,1562.8949,
1497.756,1497.439,
1494.845,1541.784,
1491.934,1497.6093,
1489.024,1492.7968,
1486.113,1482.4256,
1483.203,1454.98,
1480.292,1432.1092,
1477.382,1418.926,
1474.471,1385.9298,
1471.560,1378.0763,
1468.650,1363.593,
1465.739,1341.2532,
1462.829,1305.7682,
1459.918,1286.52,
1457.008,1318.6254,
1454.097,1352.9358,
1451.186,1353.1298,
1448.276,1331.5455,
1445.365,1316.0563,
1442.455,1329.4926,
