,PLDDA2~1,
Raman shift [1/cm],Intensity,
2173.010,693.12698,
2170.099,715.74852,
2167.189,748.92221,
2164.278,772.01633,
2161.368,780.31991,
2158.457,831.66047,
2155.546,882.85485,
2152.636,912.89891,
2149.725,944.38085,
2146.815,953.61652,
2143.904,990.45631,
2140.993,1001.3268,
2138.083,1000.9749,
2135.172,1019.8004,
2132.262,1020.0088,
2129.351,1018.4638,
2126.441,987.59457,
2123.530,910.61531,
2120.619,897.37391,
2117.709,868.18237,
2114.798,790.54977,
2111.888,749.52541,
2108.977,714.68376,
2106.067,660.31436,
2103.156,652.14918,
2100.245,642.7155,
2097.335,590.76047,
2094.424,601.73992,
2091.514,566.39247,
2088.603,584.7361,
2085.692,596.29281,
2082.782,561.47708,
2079.871,569.46528,
2076.961,568.13747,
2074.050,581.87727,
2071.140,564.10637,
2068.229,558.84506,
2065.318,557.5775,
2062.408,561.28782,
2059.497,536.50592,
2056.587,541.61014,
2053.676,546.48353,
2050.766,549.44208,
2047.855,535.46521,
2044.944,528.41025,
2042.034,543.61702,
2039.123,540.15067,
2036.213,539.67441,
2033.302,541.6194,
2030.391,553.97025,
2027.481,532.68924,
2024.570,554.24922,
2021.660,523.99691,
2018.749,552.67402,
2015.839,546.58005,
2012.928,527.33558,
2010.017,557.61971,
2007.107,556.02661,
2004.196,546.91669,
2001.286,536.8313,
1998.375,532.70866,
1995.465,521.59107,
1992.554,517.75,
1989.643,505.19933,
1986.733,510.58947,
1983.822,509.58383,
1980.912,519.15581,
1978.001,520.64797,
1975.090,523.39732,
1972.180,507.16356,
1969.269,491.635,
1966.359,490.72314,
1963.448,506.51619,
1960.538,483.78169,
1957.627,500.93268,
1954.716,494.03727,
1951.806,484.24678,
1948.895,491.58202,
1945.985,477.1585,
1943.074,476.50649,
1940.164,475.01933,
1937.253,472.85021,
1934.342,470.33983,
1931.432,480.75,
1928.521,448.92962,
1925.611,445.44466,
1922.700,461.03867,
1919.790,449.10855,
1916.879,456.98276,
1913.968,419.79672,
1911.058,444.12839,
1908.147,470.70906,
1905.237,437.6545,
1902.326,471.55448,
1899.415,435.18417,
1896.505,461.61743,
1893.594,461.74697,
1890.684,454.32525,
1887.773,459.07715,
1884.863,458.99374,
1881.952,460.81741,
1879.041,478.36683,
1876.131,468.90556,
1873.220,440.47114,
1870.310,464.59748,
1867.399,459.86196,
1864.489,441.84042,
1861.578,464.64043,
1858.667,430.0314,
1855.757,466.32995,
1852.846,486.73975,
1849.936,467.44872,
1847.025,447.68672,
1844.114,472.98061,
1841.204,481.20105,
1838.293,485.24418,
1835.383,492.029,
1832.472,491.78478,
1829.562,487.83359,
1826.651,478.54467,
1823.740,492.2213,
1820.830,489.49008,
1817.919,509.55254,
1815.009,487.35051,
1812.098,462.10434,
1809.188,496.33131,
1806.277,487.01558,
1803.366,520.18437,
1800.456,488.45367,
1797.545,518.30316,
1794.635,525.68503,
1791.724,533.96366,
1788.813,508.54846,
1785.903,507.03292,
1782.992,520.16431,
1780.082,517.71213,
1777.171,497.41702,
1774.261,504.59012,
1771.350,531.76726,
1768.439,550.51495,
1765.529,528.02033,
1762.618,513.23313,
1759.708,525.50012,
1756.797,527.60606,
1753.887,521.44242,
1750.976,548.10536,
1748.065,522.73926,
1745.155,517.46598,
1742.244,522.4665,
1739.334,534.49823,
1736.423,537.51075,
1733.512,531.38413,
1730.602,556.67861,
1727.691,516.61973,
1724.781,550.51775,
1721.870,558.11663,
1718.960,566.61679,
1716.049,567.07205,
1713.138,541.95512,
1710.228,556.02624,
1707.317,577.326,
1704.407,598.61634,
1701.496,626.27334,
1698.586,625.97805,
1695.675,595.80732,
1692.764,560.61474,
1689.854,582.66734,
1686.943,624.33352,
1684.033,650.12909,
1681.122,577.02443,
1678.211,589.61676,
1675.301,655.54649,
1672.390,672.6543,
1669.480,640.99066,
1666.569,670.78809,
1663.659,674.63195,
1660.748,728.67552,
1657.837,776.07805,
1654.927,788.94596,
1652.016,715.30514,
1649.106,778.38651,
1646.195,804.27748,
1643.285,825.81836,
1640.374,829.25174,
1637.463,853.23639,
1634.553,880.96179,
1631.642,962.64035,
1628.732,1043.9752,
1625.821,1081.7788,
1622.911,1125.5021,
1620.000,1188.9437,
1617.089,1285.7997,
1614.179,1351.8887,
1611.268,1424.036,
1608.358,1553.5225,
1605.447,1571.0644,
1602.536,1606.2298,
1599.626,1627.1487,
1596.715,1640.5488,
1593.805,1578.2524,
1590.894,1534.6425,
1587.984,1534.0805,
1585.073,1487.1043,
1582.162,1473.7407,
1579.252,1487.4794,
1576.341,1477.933,
1573.431,1477.0995,
1570.520,1457.1118,
1567.610,1425.4163,
1564.699,1393.549,
1561.788,1392.4964,
1558.878,1363.6601,
1555.967,1306.4675,
1553.057,1284.75,
1550.146,1244.1901,
1547.235,1211.0758,
1544.325,1174.0802,
1541.414,1158.931,
1538.504,1150.3083,
1535.593,1137.6715,
1532.683,1128.8057,
1529.772,1094.4816,
1526.861,1072.5779,
1523.951,1067.4502,
1521.040,1044.6946,
1518.130,1031.4024,
1515.219,1000.3908,
1512.309,968.29953,
1509.398,957.76511,
1506.487,970.15209,
1503.577,933.21594,
1500.666,968.0638,
1497.756,946.3686,
1494.845,941.02961,
1491.934,923.64921,
1489.024,892.84944,
1486.113,917.71203,
1483.203,885.99963,
1480.292,865.62828,
1477.382,830.42007,
1474.471,800.49601,
1471.560,800.28099,
1468.650,789.7678,
1465.739,798.48127,
1462.829,809.13727,
1459.918,783.12545,
1457.008,802.3813,
1454.097,793.29909,
1451.186,746.14652,
1448.276,762.59485,
1445.365,775.71603,
1442.455,789.91701,
1439.544,772.42303,
1436.633,778.59508,
1433.723,789.77113,
1430.812,739.34623,
1427.902,721.3892,
1424.991,706.22501,
1422.081,647.03147,
1419.170,674.58429,
1416.259,676.50975,
1413.349,655.35849,
1410.438,681.63964,
1407.528,677.08149,
1404.617,660.29159,
1401.707,660.51946,
1398.796,654.83744,
1395.885,662.35252,
1392.975,672.81184,
1390.064,663.17441,
1387.154,703.67482,
1384.243,668.57477,
1381.332,601.72593,
1378.422,650.32966,
1375.511,661.57103,
1372.601,706.90695,
1369.690,784.47113,
1366.780,868.8252,
1363.869,892.10886,
1360.958,862.71983,
1358.048,901.928,
1355.137,933.96748,
1352.227,944.76317,
1349.316,962.58351,
1346.406,997.15157,
1343.495,1060.0513,
1340.584,1023.428,
1337.674,1066.8973,
1334.763,1135.5968,
1331.853,1157.8504,
1328.942,1172.9814,
1326.032,1215.531,
1323.121,1280.3223,
1320.210,1278.4405,
1317.300,1314.3783,
1314.389,1391.9731,
1311.479,1405.4784,
1308.568,1386.0687,
1305.657,1419.8738,
1302.747,1438.1165,
1299.836,1507.1039,
1296.926,1568.3737,
1294.015,1603.308,
1291.105,1734.1896,
1288.194,1762.9324,
1285.283,1826.6103,
1282.373,1867.2031,
1279.462,1889.3772,
1276.552,1928.0887,
1273.641,1966.8237,
1270.731,1970.5754,
1267.820,1958.0351,
1264.909,1971.8274,
1261.999,2008.4504,
1259.088,2000.2413,
1256.178,1948.3626,
1253.267,1886.0463,
1250.356,1826.4058,
1247.446,1753.5313,
1244.535,1678.0983,
1241.625,1614.5278,
1238.714,1560.691,
1235.804,1513.3229,
1232.893,1482.7562,
1229.982,1454.6273,
1227.072,1451.0061,
1224.161,1416.2893,
1221.251,1372.5245,
1218.340,1360.3978,
1215.430,1339.2791,
1212.519,1314.9586,
1209.608,1319.8619,
1206.698,1341.9627,
1203.787,1339.8656,
1200.877,1356.6943,
