,PLIQUI~1,
Wavenumbers [1/cm],Intensity,
2175.920,349.04895,
2173.010,368.47704,
2170.099,354.97767,
2167.189,343.55439,
2164.278,368.52173,
2161.368,373.94588,
2158.457,380.7151,
2155.546,386.70771,
2152.636,383.83248,
2149.725,392.52264,
2146.815,399.24152,
2143.904,403.0776,
2140.993,406.81419,
2138.083,400.92818,
2135.172,409.34141,
2132.262,400.85739,
2129.351,408.47854,
2126.441,408.95751,
2123.530,403.3301,
2120.619,396.21,
2117.709,377.42975,
2114.798,370.27489,
2111.888,351.81261,
2108.977,344.2889,
2106.067,333.79122,
2103.156,344.57253,
2100.245,331.37375,
2097.335,331.66295,
2094.424,343.58801,
2091.514,327.30241,
2088.603,328.22291,
2085.692,339.65004,
2082.782,334.06583,
2079.871,330.19647,
2076.961,336.92295,
2074.050,357.01742,
2071.140,327.63958,
2068.229,317.72916,
2065.318,331.6715,
2062.408,332.42039,
2059.497,329.97619,
2056.587,327.53784,
2053.676,328.00823,
2050.766,339.45123,
2047.855,330.46044,
2044.944,330.04969,
2042.034,312.64095,
2039.123,328.75547,
2036.213,329.83721,
2033.302,331.89664,
2030.391,324.49399,
2027.481,320.35058,
2024.570,339.91737,
2021.660,333.96629,
2018.749,358.46323,
2015.839,335.10597,
2012.928,338.20218,
2010.017,344.96023,
2007.107,316.58246,
2004.196,305.91072,
2001.286,341.21239,
1998.375,332.75688,
1995.465,307.57589,
1992.554,314.01609,
1989.643,317.30587,
1986.733,309.89342,
1983.822,302.9267,
1980.912,310.09759,
1978.001,304.88335,
1975.090,311.57042,
1972.180,296.48008,
1969.269,293.09344,
1966.359,308.9156,
1963.448,320.8717,
1960.538,300.84122,
1957.627,312.31619,
1954.716,276.49535,
1951.806,309.38144,
1948.895,293.81827,
1945.985,310.2263,
1943.074,278.7293,
1940.164,272.22122,
1937.253,270.91862,
1934.342,268.42633,
1931.432,300.93021,
1928.521,297.64615,
1925.611,276.72574,
1922.700,288.41229,
1919.790,284.62364,
1916.879,260.11874,
1913.968,290.33565,
1911.058,307.384,
1908.147,291.64798,
1905.237,275.61026,
1902.326,259.27573,
1899.415,256.54937,
1896.505,216.36274,
1893.594,211.0885,
1890.684,238.89134,
1887.773,238.21986,
1884.863,264.80097,
1881.952,294.32486,
1879.041,292.05361,
1876.131,289.375,
1873.220,289.375,
1870.310,291.2315,
1867.399,279.56692,
1864.489,271.60866,
1861.578,281.20438,
1858.667,307.8122,
1855.757,247.17214,
1852.846,258.16472,
1849.936,276.23587,
1847.025,259.43583,
1844.114,274.1139,
1841.204,313.43444,
1838.293,299.90577,
1835.383,275.36351,
1832.472,295.28283,
1829.562,313.0138,
1826.651,282.60502,
1823.740,296.03789,
1820.830,287.08349,
1817.919,300.10566,
1815.009,274.40681,
1812.098,304.38285,
1809.188,319.63079,
1806.277,277.3488,
1803.366,309.92582,
1800.456,284.9138,
1797.545,308.88576,
1794.635,285.53602,
1791.724,297.17106,
1788.813,311.56883,
1785.903,286.74713,
1782.992,267.30197,
1780.082,232.13992,
1777.171,126.35838,
1774.261,93.210582,
1771.350,177.40951,
1768.439,252.78253,
1765.529,300.74172,
1762.618,324.24001,
1759.708,298.74427,
1756.797,314.48106,
1753.887,345.60532,
1750.976,346.86125,
1748.065,344.00173,
