,PLA569~1,
Raman shift [1/cm],Intensity,
2173.010,842.82455,
2170.099,868.35517,
2167.189,909.01965,
2164.278,967.73354,
2161.368,999.05267,
2158.457,1034.9937,
2155.546,1102.3501,
2152.636,1147.0771,
2149.725,1186.578,
2146.815,1206.1912,
2143.904,1259.2235,
2140.993,1265.6355,
2138.083,1302.2724,
2135.172,1306.146,
2132.262,1292.3592,
2129.351,1291.6664,
2126.441,1270.6541,
2123.530,1216.3556,
2120.619,1186.5702,
2117.709,1139.1322,
2114.798,1079.9939,
2111.888,1022.9877,
2108.977,980.7508,
2106.067,927.77313,
2103.156,912.34599,
2100.245,863.61434,
2097.335,847.34751,
2094.424,845.44452,
2091.514,832.99337,
2088.603,836.91078,
2085.692,808.21243,
2082.782,804.57276,
2079.871,809.91088,
2076.961,829.33344,
2074.050,779.80682,
2071.140,817.7978,
2068.229,790.99219,
2065.318,783.18025,
2062.408,771.22334,
2059.497,785.06551,
2056.587,783.72989,
2053.676,762.9259,
2050.766,765.16312,
2047.855,777.65348,
2044.944,780.7532,
2042.034,789.88505,
2039.123,779.38594,
2036.213,785.52943,
2033.302,789.77705,
2030.391,766.99869,
2027.481,764.75901,
2024.570,773.83917,
2021.660,773.68413,
2018.749,769.27084,
2015.839,784.14534,
2012.928,775.77433,
2010.017,775.07994,
2007.107,766.88108,
2004.196,777.32741,
2001.286,771.12326,
1998.375,766.49607,
1995.465,754.46607,
1992.554,746.24268,
1989.643,745.625,
1986.733,731.26711,
1983.822,744.74095,
1980.912,753.7534,
1978.001,734.66766,
1975.090,728.00058,
1972.180,729.4189,
1969.269,722.32328,
1966.359,737.89545,
1963.448,735.39778,
1960.538,724.32141,
1957.627,728.86649,
1954.716,744.1941,
1951.806,742.46953,
1948.895,752.24858,
1945.985,711.07598,
1943.074,725.39245,
1940.164,729.08635,
1937.253,726.9682,
1934.342,733.02661,
1931.432,704.88367,
1928.521,698.46956,
1925.611,699.46268,
1922.700,715.24516,
1919.790,710.15112,
1916.879,698.39224,
1913.968,725.59057,
1911.058,740.93429,
1908.147,679.93891,
1905.237,710.25732,
1902.326,695.26203,
1899.415,704.92134,
1896.505,704.53458,
1893.594,705.25613,
1890.684,708.91263,
1887.773,693.96143,
1884.863,706.7594,
1881.952,702.28015,
1879.041,697.89447,
1876.131,703.51127,
1873.220,704.625,
1870.310,701.84025,
1867.399,671.1208,
1864.489,684.17021,
1861.578,696.8778,
1858.667,690.65194,
1855.757,701.20853,
1852.846,720.37884,
1849.936,721.11349,
1847.025,716.21381,
1844.114,723.68386,
1841.204,729.15297,
1838.293,721.61835,
1835.383,736.00849,
1832.472,717.93804,
1829.562,716.23386,
1826.651,718.78723,
1823.740,742.55992,
1820.830,757.25496,
1817.919,708.13366,
1815.009,735.15553,
1812.098,752.39665,
1809.188,728.29948,
1806.277,760.85039,
1803.366,743.92445,
1800.456,761.95474,
1797.545,764.85918,
1794.635,739.94704,
1791.724,759.58611,
1788.813,779.02423,
1785.903,774.28005,
1782.992,772.2584,
1780.082,783.70859,
1777.171,771.62339,
1774.261,755.03979,
1771.350,746.9145,
1768.439,776.24393,
1765.529,795.07963,
1762.618,807.22002,
1759.708,824.22287,
1756.797,826.47348,
1753.887,796.41801,
1750.976,779.34228,
1748.065,820.10579,
1745.155,826.37996,
1742.244,824.57064,
1739.334,828.625,
1736.423,837.81003,
1733.512,843.08029,
1730.602,875.04171,
1727.691,835.72706,
1724.781,837.14311,
1721.870,827.1392,
1718.960,871.31446,
1716.049,882.46397,
1713.138,880.91501,
1710.228,894.54975,
1707.317,880.70271,
1704.407,916.35768,
1701.496,869.57832,
1698.586,885.87664,
1695.675,857.68232,
1692.764,877.3996,
1689.854,943.68016,
1686.943,882.85089,
1684.033,920.60671,
1681.122,953.08124,
1678.211,937.77728,
1675.301,970.52325,
1672.390,911.93305,
1669.480,1014.633,
1666.569,1015.2187,
1663.659,985.60122,
1660.748,1103.6416,
1657.837,1054.9591,
1654.927,1115.445,
1652.016,1148.7016,
1649.106,1111.8208,
1646.195,1119.2893,
1643.285,1106.9922,
1640.374,1165.7295,
1637.463,1172.0662,
1634.553,1250.2703,
1631.642,1227.0376,
1628.732,1264.9865,
1625.821,1325.6492,
1622.911,1362.4165,
1620.000,1515.6722,
1617.089,1571.5305,
1614.179,1667.8613,
1611.268,1752.4649,
1608.358,1905.2738,
1605.447,1941.8538,
1602.536,2003.2658,
1599.626,2046.2622,
1596.715,2005.1525,
1593.805,1966.6404,
1590.894,2042.766,
1587.984,1992.9986,
1585.073,1953.8464,
1582.162,1932.7622,
1579.252,1903.4394,
1576.341,1889.6144,
1573.431,1893.1072,
1570.520,1856.4061,
1567.610,1814.8206,
1564.699,1793.7496,
1561.788,1764.9773,
1558.878,1736.1904,
1555.967,1728.2857,
1553.057,1682.0565,
1550.146,1647.6359,
1547.235,1619.0119,
1544.325,1580.5693,
1541.414,1570.1057,
1538.504,1571.5146,
1535.593,1516.499,
1532.683,1468.1377,
1529.772,1458.2378,
1526.861,1456.3391,
1523.951,1462.1436,
1521.040,1425.7081,
1518.130,1432.5598,
1515.219,1427.3455,
1512.309,1414.0755,
1509.398,1419.2393,
1506.487,1376.5384,
1503.577,1370.3024,
1500.666,1360.0507,
1497.756,1338.5571,
1494.845,1324.8646,
1491.934,1306.5274,
1489.024,1276.6901,
1486.113,1270.0617,
1483.203,1259.8552,
1480.292,1183.956,
1477.382,1193.2559,
