,PL7DC6~1,
Raman shift [1/cm],Intensity,
2175.920,759.70515,
2173.010,787.27693,
2170.099,814.82292,
2167.189,851.64653,
2164.278,863.86923,
2161.368,912.76844,
2158.457,919.26459,
2155.546,945.18558,
2152.636,964.43878,
2149.725,990.1015,
2146.815,1011.991,
2143.904,1018.4317,
2140.993,1036.2546,
2138.083,1043.8134,
2135.172,1047.625,
2132.262,1075.7896,
2129.351,1050.3351,
2126.441,1053.4115,
2123.530,998.49031,
2120.619,977.54281,
2117.709,908.75906,
2114.798,865.52489,
2111.888,835.78811,
2108.977,832.16143,
2106.067,799.70611,
2103.156,781.46615,
2100.245,756.61747,
2097.335,743.42081,
2094.424,735.82175,
2091.514,728.8991,
2088.603,722.44062,
2085.692,723.03028,
2082.782,722.10688,
2079.871,719.05324,
2076.961,733.52718,
2074.050,728.94621,
2071.140,718.68223,
2068.229,728.91017,
2065.318,712.47675,
2062.408,725.39806,
2059.497,727.99998,
2056.587,715.36925,
2053.676,711.99177,
2050.766,704.24085,
2047.855,694.65348,
2044.944,698.01922,
2042.034,708.64805,
2039.123,690.24453,
2036.213,698.89172,
2033.302,704.7556,
2030.391,711.08221,
2027.481,724.08837,
2024.570,703.71129,
2021.660,706.2111,
2018.749,722.01715,
2015.839,708.77723,
2012.928,721.70554,
2010.017,715.05388,
2007.107,709.71846,
2004.196,716.20835,
2001.286,714.79109,
1998.375,715.10433,
1995.465,702.46607,
1992.554,699.50146,
1989.643,671.62735,
1986.733,682.69518,
1983.822,701.06075,
1980.912,693.52566,
1978.001,690.91258,
1975.090,696.09979,
1972.180,682.5545,
1969.269,705.28594,
1966.359,712.21963,
1963.448,697.55366,
1960.538,709.47821,
1957.627,705.60023,
1954.716,678.40062,
1951.806,703.73723,
1948.895,672.59861,
1945.985,706.01225,
1943.074,696.89448,
1940.164,679.625,
1937.253,683.06841,
1934.342,683.0865,
1931.432,679.20229,
1928.521,662.74071,
1925.611,663.7158,
1922.700,666.04213,
1919.790,664.76374,
1916.879,650.67124,
1913.968,691.57336,
1911.058,657.66405,
1908.147,693.71691,
1905.237,651.80149,
1902.326,664.3613,
1899.415,668.87379,
1896.505,660.04645,
1893.594,650.97569,
1890.684,675.07599,
1887.773,667.84928,
1884.863,669.36532,
1881.952,685.17988,
1879.041,681.54712,
1876.131,695.72695,
1873.220,652.55401,
1870.310,676.25723,
1867.399,672.72096,
1864.489,692.65141,
1861.578,671.70718,
1858.667,701.18488,
1855.757,695.03789,
1852.846,685.90191,
1849.936,694.36975,
1847.025,685.03375,
1844.114,689.77321,
1841.204,692.41171,
1838.293,707.63165,
1835.383,712.36899,
1832.472,740.38152,
1829.562,719.49088,
1826.651,691.41967,
1823.740,687.625,
1820.830,701.51489,
1817.919,710.51126,
1815.009,722.75604,
1812.098,702.18407,
1809.188,754.02797,
1806.277,761.53647,
1803.366,729.97436,
1800.456,749.0862,
1797.545,720.78112,
1794.635,707.91408,
1791.724,741.14931,
1788.813,741.64171,
1785.903,774.63095,
1782.992,714.77106,
1780.082,718.2149,
1777.171,699.95154,
1774.261,701.63554,
1771.350,751.39525,
1768.439,765.4136,
1765.529,777.26111,
1762.618,776.59125,
1759.708,762.80963,
1756.797,762.60985,
1753.887,788.7285,
1750.976,801.98364,
1748.065,793.79397,
1745.155,797.84428,
1742.244,789.72013,
1739.334,768.93089,
1736.423,782.40815,
1733.512,805.17789,
1730.602,815.1131,
1727.691,818.92798,
1724.781,790.52167,
1721.870,820.44903,
1718.960,835.38062,
1716.049,829.07423,
1713.138,837.88495,
1710.228,852.67945,
1707.317,853.74043,
1704.407,894.95127,
1701.496,849.48987,
1698.586,860.33274,
1695.675,883.1463,
1692.764,857.17007,
1689.854,864.23524,
1686.943,876.22029,
1684.033,936.10999,
1681.122,925.82891,
1678.211,979.11106,
1675.301,938.75142,
1672.390,970.65192,
1669.480,980.08225,
1666.569,1036.498,
1663.659,1026.9843,
1660.748,1049.2999,
1657.837,1083.3407,
1654.927,1072.4056,
1652.016,1146.5278,
1649.106,1141.8416,
1646.195,1111.8957,
1643.285,1164.5592,
1640.374,1205.9212,
1637.463,1266.4268,
1634.553,1256.955,
1631.642,1345.701,
1628.732,1353.182,
1625.821,1446.6826,
1622.911,1534.1291,
1620.000,1598.8061,
1617.089,1673.1325,
1614.179,1787.3537,
1611.268,1859.9482,
1608.358,1964.6149,
1605.447,2058.2543,
1602.536,2096.241,
1599.626,2048.0287,
1596.715,1990.0765,
1593.805,2016.8209,
1590.894,1958.0974,
1587.984,1949.625,
1585.073,1896.0235,
1582.162,1830.6876,
1579.252,1857.2669,
1576.341,1832.7814,
1573.431,1774.5019,
1570.520,1769.0331,
1567.610,1780.5663,
1564.699,1741.5733,
1561.788,1744.6389,
1558.878,1732.8249,
1555.967,1703.8051,
1553.057,1641.3152,
1550.146,1609.1668,
1547.235,1603.4927,
1544.325,1576.8727,
1541.414,1530.002,
1538.504,1521.5529,
1535.593,1518.6092,
1532.683,1504.2189,
1529.772,1493.669,
1526.861,1471.8203,
1523.951,1456.8343,
1521.040,1415.1262,
1518.130,1385.8567,
1515.219,1392.9055,
1512.309,1376.1205,
1509.398,1392.2331,
1506.487,1434.3973,
1503.577,1387.8866,
1500.666,1408.8196,
1497.756,1375.6501,
1494.845,1340.5855,
1491.934,1363.6754,
1489.024,1379.0753,
1486.113,1317.5016,
1483.203,1299.3025,
1480.292,1284.0488,
1477.382,1343.8601,
1474.471,1337.9058,
1471.560,1320.74,
1468.650,1300.9097,
1465.739,1262.241,
1462.829,1258.3518,
1459.918,1262.1001,
1457.008,1251.5326,
1454.097,1243.7764,
1451.186,1252.0215,
1448.276,1259.2456,
1445.365,1253.6977,
1442.455,1265.3452,
1439.544,1253.4842,
1436.633,1234.4105,
1433.723,1204.0993,
1430.812,1258.9704,
1427.902,1199.6328,
1424.991,1157.9313,
1422.081,1168.5522,
1419.170,1158.3922,
1416.259,1147.7143,
1413.349,1200.0024,
1410.438,1164.4417,
1407.528,1146.1312,
1404.617,1156.2577,
1401.707,1122.4094,
1398.796,1123.499,
1395.885,1160.7313,
1392.975,1123.3319,
1390.064,1038.786,
1387.154,960.82919,
1384.243,886.41695,
1381.332,861.49428,
1378.422,906.18008,
1375.511,1013.9099,
1372.601,1134.5076,
1369.690,1159.1978,
1366.780,1240.8285,
1363.869,1266.7103,
1360.958,1293.053,
1358.048,1322.2377,
1355.137,1361.4863,
1352.227,1401.2656,
1349.316,1432.6228,
1346.406,1459.4147,
1343.495,1476.6006,
1340.584,1494.2324,
1337.674,1482.8058,
1334.763,1517.872,
1331.853,1524.3626,
1328.942,1602.8978,
1326.032,1619.15,
1323.121,1637.6672,
1320.210,1644.9568,
1317.300,1702.2873,
1314.389,1741.625,
1311.479,1745.1201,
1308.568,1735.2574,
1305.657,1714.1203,
1302.747,1728.2535,
1299.836,1743.9076,
1296.926,1787.4789,
1294.015,1913.4262,
1291.105,1978.5018,
1288.194,2072.0905,
1285.283,2133.7212,
1282.373,2166.7109,
1279.462,2182.6641,
1276.552,2201.0975,
1273.641,2222.6987,
1270.731,2222.3339,
1267.820,2188.2767,
1264.909,2163.8679,
1261.999,2243.3947,
1259.088,2182.2826,
1256.178,2179.4815,
1253.267,2115.1806,
1250.356,2078.6937,
1247.446,2038.9417,
1244.535,2012.1652,
1241.625,1978.9621,
1238.714,1923.8592,
1235.804,1896.0619,
1232.893,1889.1381,
1229.982,1829.0424,
1227.072,1811.8415,
1224.161,1761.8758,
1221.251,1731.0342,
1218.340,1676.9825,
1215.430,1652.1755,
1212.519,1646.2864,
1209.608,1650.6738,
1206.698,1680.0294,
1203.787,1697.7305,
1200.877,1679.1324,
1197.966,1719.5946,
1195.055,1761.7277,
1192.145,1812.2029,
1189.234,1866.8501,
1186.324,1897.8986,
1183.413,1916.224,
1180.503,1931.6485,
1177.592,1925.1702,
1174.681,1888.0908,
1171.771,1870.4602,
1168.860,1863.3154,
1165.950,1847.3055,
1163.039,1811.4985,
1160.129,1825.3482,
1157.218,1856.1627,
1154.307,1870.8512,
1151.397,1861.8517,
1148.486,1828.0227,
1145.576,1840.3529,
1142.665,1811.0518,
1139.754,1793.1661,
1136.844,1776.3192,
1133.933,1770.625,
1131.023,1758.8226,
1128.112,1750.2672,
1125.202,1762.0066,
1122.291,1766.2328,
1119.380,1722.2313,
1116.470,1784.0083,
1113.559,1781.5728,
1110.649,1771.4217,
1107.738,1753.6937,
1104.828,1736.2157,
1101.917,1738.9805,
1099.006,1762.924,
1096.096,1758.2274,
1093.185,1735.3993,
1090.275,1759.5216,
1087.364,1772.4862,
1084.453,1778.4373,
