,PLA5FF~1,
Wavenumbers [1/cm],Intensity,
2173.010,283.40278,
2170.099,282.14335,
2167.189,285.95393,
2164.278,299.66294,
2161.368,311.5898,
2158.457,300.45137,
2155.546,310.52598,
2152.636,291.00274,
2149.725,321.31792,
2146.815,308.60912,
2143.904,308.97537,
2140.993,311.73741,
2138.083,320.06344,
2135.172,323.3792,
2132.262,326.63028,
2129.351,340.20265,
2126.441,318.25356,
2123.530,332.80766,
2120.619,324.53565,
2117.709,311.9845,
2114.798,312.04801,
2111.888,297.75023,
2108.977,294.78229,
2106.067,301.94202,
2103.156,303.875,
2100.245,278.88817,
2097.335,299.63416,
2094.424,292.84866,
2091.514,282.59548,
2088.603,291.9257,
2085.692,283.19103,
2082.782,287.0637,
2079.871,299.0897,
2076.961,296.19789,
2074.050,294.8447,
2071.140,310.01324,
2068.229,295.58983,
2065.318,312.02325,
2062.408,307.47334,
2059.497,307.48811,
2056.587,290.59627,
2053.676,291.6744,
2050.766,300.33614,
2047.855,288.38762,
2044.944,303.7468,
2042.034,285.60905,
2039.123,287.85816,
2036.213,302.51271,
2033.302,305.78768,
2030.391,316.8583,
2027.481,316.33837,
2024.570,319.56067,
2021.660,278.47669,
2018.749,323.48285,
2015.839,336.31922,
2012.928,312.05956,
2010.017,297.56231,
2007.107,319.36285,
2004.196,312.29165,
2001.286,321.56402,
1998.375,316.65354,
1995.465,301.43572,
1992.554,286.60452,
1989.643,296.46024,
1986.733,280.17939,
1983.822,276.47987,
1980.912,319.08213,
1978.001,284.62082,
1975.090,281.875,
1972.180,287.18483,
1969.269,289.47844,
1966.359,273.2532,
1963.448,275.3717,
1960.538,293.48217,
1957.627,281.71709,
1954.716,286.67391,
1951.806,310.68273,
1948.895,286.85477,
1945.985,283.14298,
1943.074,289.42492,
1940.164,270.02878,
1937.253,269.60968,
1934.342,272.34506,
1931.432,287.92548,
1928.521,290.18588,
1925.611,272.34265,
1922.700,288.45234,
1919.790,285.26238,
1916.879,249.45573,
1913.968,285.82705,
1911.058,312.57168,
1908.147,266.53924,
1905.237,271.07353,
1902.326,276.62166,
1899.415,262.97496,
1896.505,219.23056,
1893.594,237.32927,
1890.684,242.00569,
1887.773,264.35729,
1884.863,273.41031,
1881.952,294.58976,
1879.041,281.4238,
1876.131,283.64755,
1873.220,288.49005,
1870.310,290.7315,
1867.399,312.52314,
1864.489,280.875,
1861.578,281.6222,
1858.667,289.60853,
1855.757,290.0886,
1852.846,272.36219,
1849.936,266.08421,
1847.025,267.81661,
1844.114,281.16446,
1841.204,301.61976,
1838.293,287.39412,
1835.383,295.54898,
