,PLF08B~1,
Raman shift [1/cm],Intensity,
2420.409,950.69244,
2417.498,953.26125,
2414.588,946.96775,
2411.677,955.24899,
2408.767,947.23524,
2405.856,949.12854,
2402.946,964.39902,
2400.035,974.79343,
2397.124,969.98126,
2394.214,994.9048,
2391.303,990.03591,
2388.393,994.97908,
2385.482,985.02874,
2382.571,981.84187,
2379.661,983.33712,
2376.750,1010.0221,
2373.840,1014.0875,
2370.929,1022.3809,
2368.019,1039.3689,
2365.108,1012.267,
2362.197,1022.4726,
2359.287,1039.2733,
2356.376,1048.4894,
2353.466,1042.7278,
2350.555,1041.8202,
2347.645,1056.2364,
2344.734,1040.5875,
2341.823,1037.4668,
2338.913,1066.1642,
2336.002,1069.9714,
2333.092,1055.5,
2330.181,1078.1342,
2327.270,1104.3999,
2324.360,1049.4315,
2321.449,1105.9932,
2318.539,1107.2859,
2315.628,1112.1463,
2312.718,1113.2004,
2309.807,1104.7486,
2306.896,1095.2559,
2303.986,1095.7597,
2301.075,1111.3936,
2298.165,1109.7305,
2295.254,1106.5,
2292.344,1108.7074,
2289.433,1135.9518,
2286.522,1145.9645,
2283.612,1140.9911,
2280.701,1130.1906,
2277.791,1187.6184,
2274.880,1165.43,
2271.969,1162.2737,
2269.059,1165.1758,
2266.148,1192.0342,
2263.238,1185.307,
2260.327,1199.4313,
2257.417,1227.3978,
2254.506,1216.913,
2251.595,1197.6382,
2248.685,1202.9731,
2245.774,1218.8184,
2242.864,1219.7967,
2239.953,1240.0931,
2237.043,1240.045,
2234.132,1222.6897,
2231.221,1221.8954,
2228.311,1264.5128,
2225.400,1242.7665,
2222.490,1291.3275,
2219.579,1303.9524,
2216.669,1284.0167,
2213.758,1295.5026,
2210.847,1330.0995,
2207.937,1342.2557,
2205.026,1335.5,
2202.116,1346.7749,
2199.205,1372.7254,
2196.294,1366.186,
2193.384,1402.3146,
2190.473,1398.4824,
2187.563,1471.3502,
2184.652,1449.2355,
2181.742,1499.091,
2178.831,1515.8892,
2175.920,1549.4891,
