,PLD6F7~1,
Wavenumbers [1/cm],Intensity,
2173.010,562.77636,
2170.099,563.30903,
2167.189,557.7266,
2164.278,599.77198,
2161.368,571.94515,
2158.457,591.17334,
2155.546,594.26829,
2152.636,605.07181,
2149.725,628.67699,
2146.815,638.20816,
2143.904,624.98094,
2140.993,641.23741,
2138.083,650.29292,
2135.172,661.82042,
2132.262,657.10916,
2129.351,669.25442,
2126.441,656.82155,
2123.530,656.3301,
2120.619,649.07239,
2117.709,627.84762,
2114.798,616.66335,
2111.888,602.91243,
2108.977,596.74586,
2106.067,597.68364,
2103.156,581.7783,
2100.245,556.37814,
2097.335,566.553,
2094.424,593.60427,
2091.514,557.94488,
2088.603,566.29201,
2085.692,579.55715,
2082.782,575.42724,
2079.871,582.41117,
2076.961,579.69789,
2074.050,583.93864,
2071.140,576.66225,
2068.229,585.00781,
2065.318,587.46125,
2062.408,570.09438,
2059.497,580.02385,
2056.587,590.70067,
2053.676,581.84207,
2050.766,606.21954,
2047.855,552.94458,
2044.944,570.2468,
2042.034,563.72192,
2039.123,596.55682,
2036.213,602.43495,
2033.302,596.07052,
2030.391,596.9345,
2027.481,599.32616,
2024.570,614.86036,
2021.660,565.62711,
2018.749,613.65318,
2015.839,596.58563,
2012.928,596.78942,
2010.017,580.14048,
2007.107,585.81423,
2004.196,584.75601,
2001.286,601.58348,
1998.375,583.58661,
1995.465,575.375,
1992.554,590.27487,
1989.643,579.82433,
1986.733,587.16447,
1983.822,537.7103,
1980.912,579.41436,
1978.001,565.61247,
1975.090,560.56279,
1972.180,562.47873,
1969.269,558.80891,
1966.359,557.72634,
1963.448,569.79376,
1960.538,600.34331,
1957.627,560.90128,
1954.716,555.375,
1951.806,567.42468,
1948.895,565.18679,
1945.985,543.98775,
1943.074,547.77719,
1940.164,553.15389,
1937.253,549.48819,
1934.342,542.89639,
1931.432,548.83872,
1928.521,560.46654,
1925.611,545.91416,
1922.700,536.00069,
1919.790,547.43267,
1916.879,544.72375,
1913.968,519.40574,
1911.058,565.72334,
1908.147,544.23487,
1905.237,555.97794,
1902.326,549.36464,
1899.415,522.25303,
1896.505,484.41101,
1893.594,478.73175,
1890.684,501.66906,
1887.773,532.90029,
1884.863,551.92625,
1881.952,565.92988,
1879.041,566.83606,
1876.131,558.85997,
1873.220,533.83951,
1870.310,579.57222,
1867.399,585.34301,
1864.489,554.25817,
1861.578,552.40239,
1858.667,562.96182,
1855.757,559.99791,
1852.846,541.91344,
1849.936,564.6773,
1847.025,564.6694,
1844.114,571.82444,
1841.204,598.80856,
1838.293,601.39995,
1835.383,583.096,
1832.472,617.1437,
1829.562,623.84974,
1826.651,587.39146,
1823.740,617.5973,
1820.830,598.65028,
1817.919,573.71622,
1815.009,582.36228,
1812.098,606.81593,
1809.188,620.63079,
1806.277,614.52992,
1803.366,595.84081,
1800.456,622.9903,
1797.545,618.77204,
1794.635,644.43903,
1791.724,659.69537,
1788.813,658.16446,
1785.903,614.35376,
1782.992,575.96069,
1780.082,561.24091,
1777.171,513.02594,
1774.261,478.10048,
