,PLD6C1~1,
Raman shift [1/cm],Intensity,
2173.010,418.4246,
2170.099,407.83432,
2167.189,427.54305,
2164.278,434.8206,
2161.368,444.78544,
2158.457,448.38186,
2155.546,446.06058,
2152.636,475.06907,
2149.725,494.98993,
2146.815,501.33316,
2143.904,504.59666,
2140.993,496.9656,
2138.083,503.60636,
2135.172,529.85306,
2132.262,525.59419,
2129.351,513.25518,
2126.441,522.33498,
2123.530,510.18573,
2120.619,482.36239,
2117.709,475.43519,
2114.798,459.27693,
2111.888,446.66311,
2108.977,429.68543,
2106.067,410.81569,
2103.156,406.37984,
2100.245,424.4862,
2097.335,399.73037,
2094.424,380.9361,
2091.514,390.50542,
2088.603,384.78578,
2085.692,379.73042,
2082.782,386.08635,
2079.871,377.2853,
2076.961,409.1752,
2074.050,394.25758,
2071.140,389.33909,
2068.229,389.04427,
2065.318,392.7965,
2062.408,398.96218,
2059.497,389.47617,
2056.587,376.53496,
2053.676,398.18189,
2050.766,410.88415,
2047.855,384.32913,
2044.944,380.89422,
2042.034,397.21099,
2039.123,402.90067,
2036.213,408.17333,
2033.302,412.47817,
2030.391,405.90709,
2027.481,392.06104,
2024.570,385.28583,
2021.660,386.38174,
2018.749,399.53799,
2015.839,402.51772,
2012.928,414.1208,
2010.017,409.17535,
2007.107,422.31685,
2004.196,420.51183,
2001.286,398.68728,
1998.375,389.1496,
1995.465,411.45803,
1992.554,390.45318,
1989.643,421.25571,
1986.733,395.19561,
1983.822,407.64106,
1980.912,411.68838,
1978.001,416.85621,
1975.090,403.30458,
1972.180,415.98136,
1969.269,414.51718,
1966.359,413.82448,
1963.448,414.65588,
1960.538,413.31151,
1957.627,430.44119,
1954.716,412.10326,
1951.806,399.79163,
1948.895,424.62753,
1945.985,421.00653,
1943.074,410.23052,
1940.164,421.45179,
1937.253,429.0083,
1934.342,431.81605,
1931.432,421.46846,
1928.521,424.30484,
1925.611,434.47389,
1922.700,417.33978,
1919.790,415.80631,
1916.879,399.75549,
1913.968,419.47418,
1911.058,403.76427,
1908.147,408.16424,
1905.237,417.26474,
1902.326,437.02741,
1899.415,436.5317,
1896.505,427.80115,
1893.594,408.68898,
1890.684,426.51286,
1887.773,432.81956,
1884.863,450.57973,
1881.952,441.90278,
1879.041,446.89928,
1876.131,435.39805,
1873.220,420.1681,
1870.310,412.9305,
1867.399,437.10016,
1864.489,423.65577,
1861.578,429.83499,
1858.667,450.73953,
1855.757,443.28998,
1852.846,447.46412,
1849.936,423.47698,
1847.025,426.73113,
1844.114,449.12119,
1841.204,445.02797,
1838.293,437.99252,
1835.383,437.03501,
1832.472,453.84957,
1829.562,450.61354,
1826.651,461.01332,
1823.740,465.40421,
1820.830,445.75181,
1817.919,463.30254,
1815.009,444.52545,
1812.098,466.53148,
1809.188,470.43798,
1806.277,470.5,
1803.366,471.317,
1800.456,462.14872,
1797.545,490.31561,
1794.635,483.72692,
1791.724,454.96597,
1788.813,475.10334,
1785.903,485.5,
1782.992,485.76826,
1780.082,479.87223,
1777.171,467.1681,
1774.261,475.42006,
1771.350,468.23174,
1768.439,463.54452,
1765.529,472.04349,
1762.618,474.96003,
1759.708,476.68463,
1756.797,466.26515,
1753.887,490.93732,
1750.976,502.78272,
1748.065,506.87327,
1745.155,486.5905,
1742.244,499.6476,
1739.334,516.92353,
1736.423,505.07572,
1733.512,506.77644,
1730.602,537.92464,
1727.691,522.1672,
1724.781,499.55505,
1721.870,485.8428,
1718.960,485.9667,
1716.049,517.54206,
1713.138,545.72989,
1710.228,550.3703,
1707.317,558.46114,
1704.407,544.22725,
1701.496,513.33047,
1698.586,526.20774,
1695.675,566.79976,
1692.764,531.63113,
1689.854,572.55121,
1686.943,533.91648,
1684.033,591.98499,
1681.122,588.58496,
1678.211,647.92896,
1675.301,591.67575,
1672.390,615.4671,
1669.480,604.85297,
