,PLC2BA~1,
Wavenumbers [1/cm],Intensity,
2065.318,249.813,
2062.408,240.93552,
2059.497,242.88691,
2056.587,246.875,
2053.676,266.4738,
2050.766,260.72179,
2047.855,233.78956,
2044.944,230.34295,
2042.034,224.74202,
2039.123,227.05682,
2036.213,241.33721,
2033.302,251.54869,
2030.391,247.77374,
2027.481,241.10669,
2024.570,259.57453,
2021.660,227.12191,
2018.749,264.68505,
2015.839,259.60597,
2012.928,256.26594,
2010.017,252.17359,
2007.107,245.24507,
2004.196,230.33928,
2001.286,252.44033,
1998.375,244.21554,
1995.465,226.79554,
1992.554,210.85159,
1989.643,226.25285,
1986.733,236.59079,
1983.822,217.40159,
1980.912,231.81502,
1978.001,207.875,
1975.090,210.26584,
1972.180,207.11703,
1969.269,186.85484,
1966.359,189.19948,
1963.448,211.94634,
1960.538,225.17859,
1957.627,202.80068,
1954.716,183.36336,
1951.806,204.32854,
1948.895,193.10983,
1945.985,188.2835,
1943.074,189.875,
1940.164,183.11523,
1937.253,172.5967,
1934.342,172.35361,
1931.432,192.3892,
1928.521,206.92681,
1925.611,192.18034,
1922.700,195.5808,
1919.790,197.875,
1916.879,173.68849,
1913.968,166.88115,
1911.058,209.82694,
1908.147,180.6093,
1905.237,177.28675,
1902.326,166.91945,
1899.415,139.14449,
1896.505,100.17615,
1893.594,115.5885,
1890.684,149.07104,
1887.773,164.69372,
1884.863,183.35564,
1881.952,197.54742,
1879.041,186.50168,
1876.131,194.09068,
1873.220,183.79973,
1870.310,184.65975,
1867.399,195.69907,
1864.489,168.90141,
1861.578,146.64959,
1858.667,162.26124,
1855.757,150.68288,
1852.846,155.69547,
1849.936,188.10824,
1847.025,166.46381,
1844.114,175.94563,
1841.204,208.75961,
1838.293,211.89995,
1835.383,159.16654,
1832.472,181.24891,
1829.562,192.32291,
1826.651,183.34522,
1823.740,177.13935,
1820.830,161.52843,
1817.919,208.36634,
1815.009,191.61928,
1812.098,195.85137,
1809.188,215.63465,
1806.277,190.47256,
1803.366,177.59218,
1800.456,162.57867,
1797.545,191.04525,
1794.635,186.10005,
1791.724,208.37014,
1788.813,208.87243,
1785.903,188.44679,
1782.992,151.36234,
1780.082,131.65254,
1777.171,31.524336,
1774.261,-4.2894184,
1771.350,72.390261,
1768.439,146.49673,
1765.529,196.42131,
1762.618,215.88565,
1759.708,204.82039,
1756.797,205.1553,
1753.887,229.13156,
1750.976,232.64398,
1748.065,229.57393,
1745.155,243.48134,
1742.244,225.06526,
1739.334,190.33383,
1736.423,207.01702,
1733.512,205.50505,
1730.602,215.83534,
1727.691,225.48096,
1724.781,244.96626,
1721.870,222.51294,
1718.960,231.49741,
1716.049,215.57858,
1713.138,214.43999,
1710.228,250.55718,
1707.317,216.95386,
1704.407,220.85897,
1701.496,251.95608,
1698.586,247.48312,
1695.675,259.97492,
1692.764,255.19467,
1689.854,224.26081,
1686.943,245.09931,
1684.033,269.27893,
1681.122,276.75605,
1678.211,258.05583,
1675.301,273.82567,
1672.390,270.80621,
1669.480,248.29214,
1666.569,300.25588,
1663.659,329.41769,
1660.748,302.16423,
1657.837,317.22492,
1654.927,332.03155,
1652.016,297.77407,
1649.106,334.63391,
1646.195,364.65921,
