,PLAC5E~1,
Wavenumbers [1/cm],Intensity,
2178.831,203.34974,
2175.920,207.6291,
2173.010,221.27636,
2170.099,217.47619,
2167.189,215.05439,
2164.278,236.20666,
2161.368,216.58908,
2158.457,222.14588,
2155.546,232.84425,
2152.636,229.4229,
2149.725,217.38507,
2146.815,244.87393,
2143.904,229.97908,
2140.993,236.15018,
2138.083,235.91141,
2135.172,257.8666,
2132.262,244.47975,
2129.351,253.99925,
2126.441,247.50603,
2123.530,255.03214,
2120.619,263.78347,
2117.709,231.08394,
2114.798,219.16335,
2111.888,216.68694,
2108.977,244.13329,
2106.067,239.2242,
2103.156,238.39434,
2100.245,194.89194,
2097.335,222.59751,
2094.424,219.73712,
2091.514,194.23253,
2088.603,206.74131,
2085.692,216.32855,
2082.782,218.82276,
2079.871,212.6603,
2076.961,220.22922,
2074.050,214.53561,
2071.140,211.57586,
2068.229,225.4323,
2065.318,212.406,
2062.408,218.32205,
2059.497,229.0893,
2056.587,232.45642,
2053.676,214.72605,
2050.766,221.95123,
2047.855,217.44781,
2044.944,204.73717,
2042.034,212.37205,
2039.123,208.41709,
2036.213,225.33721,
2033.302,229.02705,
2030.391,215.90944,
2027.481,224.96018,
2024.570,225.13232,
2021.660,207.8802,
2018.749,247.26715,
2015.839,230.66437,
2012.928,218.50755,
2010.017,207.12147,
2007.107,215.96846,
2004.196,217.85119,
2001.286,227.14707,
1998.375,236.65847,
1995.465,228.43572,
1992.554,198.70465,
1989.643,221.90722,
1986.733,215.52061,
1983.822,180.22286,
1980.912,212.49825,
1978.001,201.53549,
1975.090,224.47653,
1972.180,206.49737,
1969.269,191.83766,
1966.359,184.49649,
1963.448,203.71253,
1960.538,212.875,
1957.627,187.90904,
1954.716,217.89829,
1951.806,209.17951,
1948.895,193.96207,
1945.985,186.59396,
1943.074,201.5836,
1940.164,187.5001,
1937.253,186.83606,
1934.342,191.51617,
1931.432,211.33872,
1928.521,197.64011,
1925.611,159.32336,
1922.700,184.28107,
1919.790,192.15248,
1916.879,179.78174,
1913.968,179.87377,
1911.058,212.89301,
1908.147,186.46917,
1905.237,186.74993,
1902.326,148.51203,
1899.415,141.11278,
1896.505,97.170017,
1893.594,105.40255,
1890.684,152.2344,
1887.773,177.89186,
1884.863,192.06407,
1881.952,205.03489,
1879.041,209.11851,
1876.131,200.73121,
1873.220,195.38826,
1870.310,221.79423,
1867.399,225.84301,
1864.489,209.94036,
1861.578,187.342,
1858.667,189.82112,
1855.757,180.66498,
1852.846,194.89038,
1849.936,202.96809,
1847.025,192.05506,
1844.114,185.93386,
1841.204,209.89598,
1838.293,196.91491,
1835.383,196.92098,
1832.472,228.14283,
1829.562,221.82135,
1826.651,222.76411,
1823.740,213.04356,
1820.830,232.56813,
1817.919,208.92869,
1815.009,172.76305,
1812.098,219.93796,
1809.188,229.62693,
1806.277,205.4283,
1803.366,189.875,
1800.456,191.13901,
1797.545,213.98133,
1794.635,224.22999,
1791.724,219.04977,
1788.813,221.28323,
1785.903,219.43914,
1782.992,124.2416,
1780.082,75.133603,
1777.171,-65.825255,
1774.261,-138.92895,
1771.350,30.233533,
1768.439,176.68726,
1765.529,228.33245,
1762.618,237.21248,
1759.708,207.46176,
1756.797,224.375,
1753.887,249.2336,
1750.976,260.79581,
1748.065,250.36963,
1745.155,247.09428,
1742.244,242.94295,
1739.334,236.50559,
1736.423,240.11425,
1733.512,237.50913,
1730.602,280.008,
1727.691,257.25963,
1724.781,243.51527,
1721.870,227.58443,
1718.960,260.05321,
1716.049,275.42577,
1713.138,263.19507,
1710.228,286.11361,
1707.317,288.10586,
1704.407,283.38301,
1701.496,280.14036,
1698.586,289.11484,
1695.675,311.3963,
1692.764,277.84629,
1689.854,246.2175,
1686.943,273.86323,
1684.033,283.65147,
1681.122,270.11289,
1678.211,295.62755,
1675.301,313.8195,
1672.390,257.91388,
1669.480,271.2039,
1666.569,312.43362,
1663.659,355.23804,
1660.748,316.97141,
1657.837,322.77166,
1654.927,362.12527,
1652.016,331.21519,
1649.106,344.60571,
1646.195,334.42646,
1643.285,357.42188,
1640.374,380.66594,
1637.463,370.78493,
1634.553,366.407,
1631.642,402.23331,
1628.732,434.83352,
1625.821,427.88023,
1622.911,435.82992,
1620.000,480.30806,
