,PL4CF9~1,
Raman shift [1/cm],Intensity,
2173.010,310.24858,
2170.099,317.24008,
2167.189,319.3176,
2164.278,312.40214,
2161.368,327.23107,
2158.457,355.72941,
2155.546,349.2394,
2152.636,347.8271,
2149.725,359.03271,
2146.815,380.67425,
2143.904,384.17797,
2140.993,389.27979,
2138.083,384.92818,
2135.172,390.8624,
2132.262,394.87852,
2129.351,393.35429,
2126.441,389.72451,
2123.530,370.03828,
2120.619,340.09978,
2117.709,331.78281,
2114.798,319.97892,
2111.888,321.15041,
2108.977,302.83857,
2106.067,293.58311,
2103.156,310.85154,
2100.245,273.3819,
2097.335,281.36453,
2094.424,261.2898,
2091.514,263.7997,
2088.603,258.3243,
2085.692,268.83219,
2082.782,263.35901,
2079.871,267.41117,
2076.961,254.40825,
2074.050,261.375,
2071.140,259.60503,
2068.229,257.17837,
2065.318,277.28875,
2062.408,271.51117,
2059.497,269.5893,
2056.587,282.88649,
2053.676,261.8765,
2050.766,243.45273,
2047.855,246.77371,
2044.944,261.4391,
2042.034,266.00503,
2039.123,266.53662,
2036.213,269.5505,
2033.302,251.74459,
2030.391,251.01905,
2027.481,259.55785,
2024.570,280.91737,
2021.660,286.25674,
2018.749,278.64093,
2015.839,283.4918,
2012.928,273.90353,
2010.017,277.18064,
2007.107,274.33016,
2004.196,281.79165,
2001.286,266.89446,
1998.375,272.59646,
1995.465,294.89375,
1992.554,271.32818,
1989.643,284.75285,
1986.733,273.85658,
1983.822,281.52862,
1980.912,279.33564,
1978.001,285.92602,
1975.090,275.58568,
1972.180,278.61568,
1969.269,301.09344,
1966.359,287.72603,
1963.448,283.14119,
1960.538,282.31745,
1957.627,284.04992,
1954.716,267.86336,
1951.806,278.02082,
1948.895,292.54298,
1945.985,300.02206,
1943.074,279.78815,
1940.164,296.39412,
1937.253,291.67926,
1934.342,303.42633,
1931.432,290.32452,
1928.521,293.90868,
1925.611,299.77114,
1922.700,283.33771,
1919.790,281.09752,
1916.879,295.32876,
1913.968,292.37992,
1911.058,259.80145,
1908.147,319.18665,
1905.237,298.17647,
1902.326,297.1113,
1899.415,293.42256,
1896.505,276.01944,
1893.594,267.00613,
1890.684,277.89134,
1887.773,287.03857,
1884.863,306.13126,
1881.952,293.84519,
1879.041,314.12163,
1876.131,307.08742,
1873.220,299.88826,
1870.310,297.5185,
1867.399,317.05513,
1864.489,327.7519,
1861.578,309.38622,
1858.667,284.92287,
1855.757,311.57428,
1852.846,308.10322,
1849.936,301.72334,
1847.025,311.43583,
1844.114,301.16794,
1841.204,303.88549,
1838.293,314.86585,
1835.383,327.47949,
1832.472,316.76978,
1829.562,325.81667,
1826.651,305.92124,
1823.740,308.11833,
1820.830,328.26489,
1817.919,316.90185,
1815.009,307.38136,
1812.098,315.35137,
1809.188,298.55334,
1806.277,333.55612,
1803.366,329.67628,
1800.456,289.25431,
1797.545,307.23301,
1794.635,330.47292,
1791.724,304.80208,
1788.813,337.16831,
1785.903,319.65792,
1782.992,316.96214,
1780.082,296.04065,
1777.171,323.03666,
1774.261,320.07032,
1771.350,342.23025,
1768.439,325.01199,
1765.529,320.10373,
1762.618,341.45315,
1759.708,330.36389,
1756.797,334.80682,
1753.887,343.14322,
1750.976,324.88875,
1748.065,332.04934,
1745.155,336.82018,
1742.244,340.67209,
1739.334,368.0244,
1736.423,351.8199,
1733.512,346.9238,
1730.602,359.84724,
1727.691,337.27454,
1724.781,344.31995,
1721.870,359.64173,
1718.960,353.33045,
1716.049,348.85808,
1713.138,350.93999,
1710.228,369.65124,
1707.317,390.951,
1704.407,364.62629,
1701.496,366.84429,
1698.586,389.55063,
1695.675,383.88933,
1692.764,381.48156,
1689.854,435.90653,
1686.943,421.94834,
1684.033,437.95278,
1681.122,429.52793,
1678.211,460.07996,
1675.301,438.44284,
1672.390,427.45276,
1669.480,453.57555,
1666.569,478.27343,
1663.659,471.04463,
1660.748,510.58445,
1657.837,470.79052,
1654.927,489.00013,
1652.016,474.07967,
1649.106,503.35424,
1646.195,542.61476,
1643.285,552.32943,
1640.374,549.35062,
1637.463,502.32977,
1634.553,554.71489,
1631.642,577.54873,
1628.732,593.62979,
1625.821,636.38481,
1622.911,651.29047,
1620.000,679.02224,
1617.089,732.30037,
1614.179,749.89558,
1611.268,797.55328,
1608.358,812.71948,
1605.447,858.63251,
1602.536,845.53292,
1599.626,883.01218,
1596.715,881.83699,
1593.805,861.6997,
1590.894,869.94304,
1587.984,862.71408,
1585.073,843.50785,
1582.162,859.57738,
1579.252,829.82465,
1576.341,811.96118,
1573.431,810.94135,
1570.520,812.90375,
1567.610,818.59077,
1564.699,784.12351,
1561.788,809.10702,
1558.878,770.07118,
1555.967,742.39301,
1553.057,727.97858,
1550.146,725.29135,
1547.235,713.61684,
1544.325,700.54734,
1541.414,686.49374,
1538.504,680.99922,
1535.593,696.08712,
1532.683,710.59076,
1529.772,707.04386,
1526.861,686.51213,
1523.951,673.72949,
1521.040,666.01474,
1518.130,635.38961,
1515.219,645.65341,
1512.309,687.24433,
1509.398,649.52325,
1506.487,652.4855,
1503.577,630.52195,
1500.666,627.00993,
1497.756,596.03647,
1494.845,642.37609,
1491.934,690.17972,
1489.024,630.50516,
1486.113,625.59335,
1483.203,614.71699,
1480.292,616.76905,
1477.382,596.36055,
1474.471,585.23597,
1471.560,579.021,
1468.650,585.57428,
1465.739,586.81304,
1462.829,569.85775,
1459.918,560.47998,
1457.008,568.48278,
1454.097,582.76953,
1451.186,590.54328,
1448.276,597.86129,
1445.365,608.51718,
1442.455,613.22102,
1439.544,642.21512,
1436.633,618.4326,
1433.723,592.11972,
1430.812,602.6757,
1427.902,581.98384,
1424.991,607.57343,
1422.081,550.57394,
1419.170,606.72328,
1416.259,619.61525,
1413.349,570.52909,
1410.438,559.27346,
1407.528,572.96235,
1404.617,604.62151,
1401.707,607.00673,
1398.796,585.35055,
1395.885,599.93819,
1392.975,630.54155,
1390.064,619.19451,
1387.154,586.38312,
1384.243,518.58026,
1381.332,480.13762,
1378.422,511.67924,
1375.511,536.97232,
1372.601,593.59079,
1369.690,656.66613,
1366.780,676.67146,
1363.869,696.81045,
1360.958,672.34483,
1358.048,671.2078,
1355.137,708.18489,
1352.227,719.10695,
1349.316,723.98293,
1346.406,746.79564,
1343.495,734.09802,
1340.584,748.2685,
1337.674,716.23748,
1334.763,797.70458,
1331.853,780.08719,
1328.942,777.59607,
1326.032,746.38142,
1323.121,741.59789,
1320.210,785.65985,
1317.300,750.12249,
1314.389,725.79197,
1311.479,726.83141,
1308.568,711.17096,
1305.657,717.74649,
1302.747,728.59909,
1299.836,737.6207,
1296.926,741.51145,
1294.015,787.47763,
1291.105,784.97229,
1288.194,823.51341,
1285.283,832.659,
1282.373,846.29682,
1279.462,863.15914,
1276.552,880.13095,
1273.641,895.93028,
1270.731,900.72873,
1267.820,885.02674,
1264.909,848.52876,
1261.999,844.40556,
1259.088,900.04494,
1256.178,892.24107,
1253.267,878.09987,
1250.356,841.86681,
1247.446,830.48209,
1244.535,828.91519,
1241.625,795.71212,
1238.714,753.375,
1235.804,754.24878,
1232.893,753.8804,
1229.982,728.08712,
1227.072,690.06401,
1224.161,688.2155,
1221.251,675.71834,
1218.340,658.41876,
1215.430,630.45466,
1212.519,609.75292,
1209.608,614.23439,
1206.698,637.77944,
1203.787,657.66143,
1200.877,648.82077,
1197.966,656.01404,
1195.055,711.83616,
