,PL1E3C~1,
Raman shift [1/cm],Intensity,
2170.099,336.86508,
2167.189,362.98565,
2164.278,362.7608,
2161.368,377.57088,
2158.457,385.61098,
2155.546,400.62023,
2152.636,399.27664,
2149.725,411.97314,
2146.815,436.29925,
2143.904,432.20816,
2140.993,454.09521,
2138.083,466.83584,
2135.172,476.0084,
2132.262,473.74824,
2129.351,474.51035,
2126.441,441.42708,
2123.530,450.7194,
2120.619,423.11021,
2117.709,407.1095,
2114.798,397.0729,
2111.888,373.53743,
2108.977,361.649,
2106.067,353.24162,
2103.156,366.19753,
2100.245,349.99812,
2097.335,346.15707,
2094.424,341.19675,
2091.514,339.99458,
2088.603,336.69583,
2085.692,324.08561,
2082.782,303.22495,
2079.871,332.8588,
2076.961,324.09782,
2074.050,298.72727,
2071.140,313.48272,
2068.229,313.55079,
2065.318,316.56876,
2062.408,314.27233,
2059.497,308.02383,
2056.587,298.26773,
2053.676,291.81662,
2050.766,299.38415,
2047.855,300.42719,
2044.944,315.39904,
2042.034,312.54906,
2039.123,300.78114,
2036.213,311.11555,
2033.302,319.23899,
2030.391,316.05115,
2027.481,315.95116,
2024.570,309.57165,
2021.660,292.0052,
2018.749,319.73407,
2015.839,312.0584,
2012.928,307.60906,
2010.017,309.75353,
2007.107,303.83738,
2004.196,304.48809,
2001.286,302.18728,
1998.375,301,
1995.465,299.42679,
1992.554,294.61768,
1989.643,321.03222,
1986.733,308.87631,
1983.822,292.38552,
1980.912,309.1284,
1978.001,288.1614,
1975.090,280.16489,
1972.180,294.96542,
1969.269,288.07469,
1966.359,287.83791,
1963.448,296.84412,
1960.538,293.31943,
1957.627,318.74925,
1954.716,288.00544,
1951.806,301.39742,
1948.895,304.02639,
1945.985,273.06373,
1943.074,285,
1940.164,294.96176,
1937.253,321.60851,
1934.342,324.42728,
1931.432,304.45426,
1928.521,286.25907,
1925.611,265.86379,
1922.700,282.95165,
1919.790,311.39281,
1916.879,274.99923,
1913.968,273.99754,
1911.058,290.009,
1908.147,276.2657,
1905.237,275.4191,
1902.326,273.7022,
1899.415,291.76706,
1896.505,288.00613,
1893.594,291.55179,
1890.684,270.22228,
1887.773,268.35329,
1884.863,285.75626,
1881.952,308.34485,
1879.041,313.48702,
1876.131,289.38302,
1873.220,288.35842,
1870.310,298.28249,
1867.399,273.41583,
1864.489,293.07789,
1861.578,294.533,
1858.667,288.97306,
1855.757,286.98568,
1852.846,304.25641,
1849.936,300.14015,
1847.025,285.17518,
1844.114,295.02354,
1841.204,312.27622,
1838.293,299.0449,
1835.383,280.74399,
1832.472,285.62783,
1829.562,271.86276,
1826.651,290.98354,
1823.740,302.27203,
1820.830,326.69313,
1817.919,302.23932,
1815.009,315.54961,
1812.098,310.92126,
1809.188,309.06202,
1806.277,315.84508,
1803.366,308.13309,
1800.456,315.28556,
1797.545,302.35464,
1794.635,295.35499,
1791.724,297.27176,
1788.813,326.59691,
1785.903,313.95157,
1782.992,310.97469,
1780.082,325.1798,
1777.171,310.66488,
1774.261,300.71493,
1771.350,300.93625,
1768.439,312.12796,
1765.529,323.63799,
1762.618,333.51687,
1759.708,355.98936,
1756.797,349.49242,
1753.887,328.38484,
1750.976,340.43455,
1748.065,332.25346,
1745.155,322.36129,
1742.244,343.85051,
1739.334,335.82824,
1736.423,329.11962,
1733.512,377.29688,
1730.602,405.47224,
1727.691,370.61697,
1724.781,350.34766,
1721.870,323.05224,
1718.960,322.75562,
1716.049,360.91489,
1713.138,350.90008,
1710.228,375.8495,
1707.317,370.26971,
1704.407,367.20321,
1701.496,372.46929,
1698.586,384.08781,
1695.675,349.44307,
1692.764,389.60248,
1689.854,365.21258,
1686.943,345.64079,
1684.033,366.4536,
1681.122,372.89805,
1678.211,403.70496,
1675.301,416.95992,
1672.390,396.17945,
1669.480,455.73527,
1666.569,422.59373,
1663.659,391.39198,
1660.748,415.75199,
1657.837,454.43739,
1654.927,472.7114,
1652.016,419.68037,
1649.106,447.53858,
1646.195,468.85614,
1643.285,464.36719,
1640.374,521.11848,
1637.463,434.31506,
1634.553,505.89655,
1631.642,498.91314,
1628.732,491.13036,
1625.821,513.01963,
1622.911,542.83095,
1620.000,628.90391,
1617.089,609.41791,
1614.179,677.02593,
1611.268,663.59485,
1608.358,743.06686,
1605.447,765.8573,
1602.536,770.72755,
1599.626,807.79731,
1596.715,776.51116,
1593.805,748.85304,
1590.894,766.25541,
1587.984,783.72357,
1585.073,740.05589,
1582.162,743.6884,
1579.252,708.35815,
1576.341,712.01595,
1573.431,726.74761,
1570.520,717.00559,
1567.610,697.3527,
1564.699,691.27497,
1561.788,679.7325,
1558.878,649.73776,
1555.967,652.53462,
1553.057,628.10377,
1550.146,617.98907,
1547.235,650.15502,
1544.325,617.5366,
1541.414,590.42132,
1538.504,613.84506,
1535.593,594.83748,
1532.683,573.94425,
1529.772,578.0814,
1526.861,587.12807,
1523.951,611.05471,
1521.040,579.89917,
1518.130,551.18111,
1515.219,545.3608,
1512.309,521.96398,
1509.398,530.13314,
1506.487,523.06262,
1503.577,550.44445,
1500.666,526.57427,
1497.756,546.23719,
1494.845,538.24068,
1491.934,567.79212,
1489.024,504.26759,
1486.113,494.58228,
1483.203,485.11832,
1480.292,479.75744,
1477.382,459.60204,
1474.471,487.9973,
1471.560,488.56634,
1468.650,497.9822,
1465.739,473.89696,
1462.829,415.8196,
1459.918,427.77935,
1457.008,482.33875,
1454.097,488.28663,
1451.186,455.86074,
1448.276,418.65844,
1445.365,401.8594,
1442.455,435.01303,
1439.544,457.05725,
1436.633,471.88283,
1433.723,440.75679,
1430.812,425.96047,
1427.902,437.05291,
1424.991,397.24689,
1422.081,435.45152,
1419.170,464.92181,
1416.259,374.22262,
1413.349,409.39832,
1410.438,421.0022,
1407.528,361.35073,
1404.617,369.33759,
1401.707,417.66768,
1398.796,424.19933,
1395.885,423.81507,
1392.975,424.29093,
1390.064,393.47155,
1387.154,387.88723,
1384.243,345.75635,
