,PL7E9D~1,
Wavenumbers [1/cm],Intensity,
2175.920,332.92122,
2173.010,347.60147,
2170.099,346.95089,
2167.189,353.83611,
2164.278,363.10879,
2161.368,351.46384,
2158.457,365.83352,
2155.546,378.91636,
2152.636,355.87774,
2149.725,370.38085,
2146.815,382.51642,
2143.904,391.95445,
2140.993,397.16277,
2138.083,385.68006,
2135.172,410.64084,
2132.262,403.09595,
2129.351,420.95708,
2126.441,407.77906,
2123.530,384.94081,
2120.619,396.79608,
2117.709,367.33213,
2114.798,358.15369,
2111.888,335.21257,
2108.977,333.75,
2106.067,315.54893,
2103.156,363.41994,
2100.245,333.73118,
2097.335,307.0013,
2094.424,330.2713,
2091.514,326.24729,
2088.603,314.63021,
2085.692,323.89116,
2082.782,334.33635,
2079.871,329.64265,
2076.961,344.65218,
2074.050,324.44091,
2071.140,303.73811,
2068.229,330.83854,
2065.318,332.9845,
2062.408,325.34834,
2059.497,328.97025,
2056.587,333.62213,
2053.676,323.76722,
2050.766,330.05717,
2047.855,302.03479,
2044.944,308.69071,
2042.034,294.43794,
2039.123,323.29209,
2036.213,321.19657,
2033.302,312.31492,
2030.391,321.0214,
2027.481,315.26221,
2024.570,326.54969,
2021.660,327.80913,
2018.749,355.9522,
2015.839,333.32874,
2012.928,321.42785,
2010.017,332.45141,
2007.107,324.72569,
2004.196,311.09522,
2001.286,311.39663,
1998.375,318.53347,
1995.465,311.09732,
1992.554,304.36768,
1989.643,302.78456,
1986.733,293.94737,
1983.822,284.4051,
1980.912,304.55132,
1978.001,281.7667,
1975.090,291.55458,
1972.180,295.54254,
1969.269,288.72984,
1966.359,267.72283,
1963.448,288.77907,
1960.538,293.88094,
1957.627,281.15866,
1954.716,249.64053,
1951.806,276.79324,
1948.895,292.92415,
1945.985,267.1585,
1943.074,271.83482,
1940.164,272.27868,
1937.253,254.87617,
1934.342,255.29706,
1931.432,284.99606,
1928.521,277.42357,
1925.611,266.63309,
1922.700,289.91022,
1919.790,261.29952,
1916.879,254.81975,
1913.968,256.74754,
1911.058,311.43768,
1908.147,273.70178,
1905.237,238.76469,
1902.326,232.85963,
1899.415,203.32068,
1896.505,140.1477,
1893.594,156.56708,
1890.684,195.40989,
1887.773,253.43044,
1884.863,263.73405,
1881.952,271.60738,
1879.041,255.56827,
1876.131,242.23497,
1873.220,252.0819,
1870.310,282.52573,
1867.399,275.89394,
1864.489,244.86683,
1861.578,252.13977,
1858.667,286.24107,
1855.757,237.34785,
1852.846,252.31406,
1849.936,280.68094,
1847.025,248.46048,
1844.114,267.98543,
1841.204,318.72902,
1838.293,291.27744,
1835.383,268.19201,
1832.472,282.91348,
1829.562,289.08437,
1826.651,262.18535,
1823.740,282.32477,
1820.830,274.45849,
1817.919,267.12125,
1815.009,273.59987,
1812.098,267.5689,
1809.188,299.57938,
