,PL63A4~1,
Wavenumbers [1/cm],Intensity,
2175.920,684.16166,
2173.010,692.37528,
2170.099,683.35119,
2167.189,719.82893,
2164.278,731.33693,
2161.368,741.60631,
2158.457,775.27145,
2155.546,785.97786,
2152.636,771.87235,
2149.725,784.72985,
2146.815,817.71556,
2143.904,836.1552,
2140.993,845.95638,
2138.083,838.5737,
2135.172,853.15344,
2132.262,842.84419,
2129.351,853.16048,
2126.441,842.19655,
2123.530,869.50307,
2120.619,840.18151,
2117.709,794.33213,
2114.798,782.04597,
2111.888,749.08779,
2108.977,750.37914,
2106.067,745.64947,
2103.156,711.95577,
2100.245,677.77509,
2097.335,710.40446,
2094.424,666.08463,
2091.514,693.60482,
2088.603,697.34444,
2085.692,695.11066,
2082.782,663.71802,
2079.871,681.67998,
2076.961,666.23529,
2074.050,699.21667,
2071.140,685.69277,
2068.229,679.00258,
2065.318,689.58823,
2062.408,683.00036,
2059.497,708.76787,
2056.587,691.3434,
2053.676,683.38323,
2050.766,695.74925,
2047.855,656.31958,
2044.944,673.75481,
2042.034,664.30496,
2039.123,687.99242,
2036.213,693.17659,
2033.302,694.74962,
2030.391,688.69989,
2027.481,693.09128,
2024.570,693.00732,
2021.660,699.27697,
2018.749,724.25612,
2015.839,704.75524,
2012.928,668.02517,
2010.017,701.9183,
2007.107,700.93315,
2004.196,688.91669,
2001.286,711.46022,
1998.375,713.3996,
1995.465,681.43215,
1992.554,676.37939,
1989.643,676.75,
1986.733,672.03772,
1983.822,649.36743,
1980.912,686.86809,
1978.001,663.96151,
1975.090,680.94542,
1972.180,667.78593,
1969.269,661.93969,
1966.359,663.26343,
1963.448,662.67206,
1960.538,647.51981,
1957.627,641.07508,
1954.716,649.49146,
1951.806,629.94871,
1948.895,633.36741,
1945.985,632.17974,
1943.074,639.71307,
1940.164,637.27868,
1937.253,615.57191,
1934.342,595.16872,
1931.432,608.2642,
1928.521,617.60665,
1925.611,628.88621,
1922.700,647.41298,
1919.790,623.18962,
1916.879,595.49374,
1913.968,596.74631,
1911.058,678.37161,
1908.147,643.55437,
1905.237,630.5882,
1902.326,605.00334,
1899.415,580.59632,
1896.505,543.65345,
1893.594,551.73182,
1890.684,592.39703,
1887.773,611.18929,
1884.863,637.69533,
1881.952,642.56504,
1879.041,641.50649,
1876.131,650.70817,
1873.220,614.39586,
1870.310,618.03249,
1867.399,641.38215,
1864.489,610.68464,
1861.578,632.44241,
1858.667,617.40271,
1855.757,606.53998,
1852.846,616.99616,
1849.936,615.95921,
1847.025,620.51399,
1844.114,630.99238,
1841.204,662.0472,
1838.293,672.77328,
1835.383,644.54101,
1832.472,658.84391,
1829.562,676.1112,
1826.651,686.69044,
1823.740,669.91088,
1820.830,667.92328,
1817.919,681.15127,
1815.009,652.92558,
1812.098,708.78933,
1809.188,667.9129,
1806.277,669.63934,
1803.366,700.18437,
1800.456,667.40949,
1797.545,679.30316,
1794.635,685.26601,
1791.724,693.0412,
1788.813,718.55489,
1785.903,713.11448,
1782.992,647.09129,
1780.082,607.66947,
1777.171,462.72588,
1774.261,416.91589,
1771.350,544.40602,
1768.439,648.13667,
1765.529,711.02786,
1762.618,745.19938,
1759.708,730.91288,
1756.797,739.95455,
1753.887,758.49344,
1750.976,762.64659,
1748.065,761.22005,
1745.155,759.66612,
1742.244,770.01991,
1739.334,759.00177,
1736.423,803.3275,
1733.512,785.45721,
1730.602,782.71827,
1727.691,795.19427,
1724.781,801.68288,
1721.870,803.55477,
1718.960,814.43902,
1716.049,799.97051,
1713.138,800.16998,
1710.228,820.76683,
1707.317,841.44143,
1704.407,841.95321,
1701.496,836.28071,
1698.586,852.38172,
1695.675,846.26433,
1692.764,856.16394,
1689.854,793.60823,
1686.943,852.59156,
1684.033,844.99836,
1681.122,891.93436,
1678.211,916.52158,
1675.301,953.63591,
1672.390,918.75,
1669.480,918.8944,
1666.569,937.90533,
1663.659,1027.2927,
1660.748,1000.4056,
1657.837,1034.6029,
1654.927,1071.5785,
1652.016,1023.6734,
1649.106,1061.1172,
1646.195,1076.2295,
1643.285,1097.459,
1640.374,1170.75,
1637.463,1172.047,
1634.553,1242.9421,
1631.642,1256.2386,
1628.732,1301.3959,
1625.821,1409.769,
1622.911,1438.5866,
1620.000,1544.4019,
1617.089,1644.74,
1614.179,1766.2813,
1611.268,1866.0322,
1608.358,1986.0376,
1605.447,2091.6937,
1602.536,2079.1123,
1599.626,2118.227,
1596.715,2144.44,
1593.805,2112.7654,
1590.894,2086.7332,
1587.984,2032.6506,
1585.073,1963.4912,
1582.162,1961.0989,
1579.252,1873.5552,
1576.341,1853.75,
1573.431,1837.3033,
1570.520,1815.9337,
1567.610,1784.6712,
1564.699,1754.7241,
1561.788,1720.6939,
1558.878,1689.9499,
1555.967,1651.0201,
1553.057,1614.6985,
1550.146,1570.7937,
1547.235,1559.6049,
1544.325,1540.8666,
1541.414,1507.7085,
1538.504,1513.2193,
1535.593,1513.1949,
1532.683,1507.6943,
1529.772,1499.7566,
1526.861,1478.3942,
1523.951,1496.8317,
1521.040,1506.6946,
1518.130,1502.1268,
1515.219,1512.2291,
1512.309,1534.5653,
1509.398,1508.0238,
1506.487,1495.0962,
1503.577,1507.9902,
1500.666,1473.7866,
1497.756,1514.4365,
1494.845,1520.909,
1491.934,1476.665,
1489.024,1450.6777,
1486.113,1501.6741,
1483.203,1423.1504,
1480.292,1416.144,
1477.382,1407.8593,
1474.471,1360.4746,
1471.560,1311.918,
1468.650,1308.9991,
1465.739,1319.5144,
1462.829,1354.9781,
1459.918,1371.7776,
1457.008,1390.0887,
1454.097,1390.4907,
1451.186,1368.2452,
1448.276,1362.8947,
1445.365,1336.498,
1442.455,1310.2901,
1439.544,1304.423,
1436.633,1293.6418,
1433.723,1235.7379,
1430.812,1264.3411,
1427.902,1270.7804,
1424.991,1230.0266,
1422.081,1196.6383,
1419.170,1237.8171,
1416.259,1201.0066,
1413.349,1204.3443,
1410.438,1206.6507,
1407.528,1185.794,
1404.617,1208.8034,
1401.707,1157.4985,
1398.796,1058.6522,
1395.885,1049.6203,
1392.975,1061.8948,
1390.064,1027.4053,
1387.154,1054.2451,
1384.243,1027.7472,
1381.332,961.61526,
1378.422,1010.0059,
1375.511,1034.3622,
1372.601,1114.9266,
1369.690,1155.1817,
1366.780,1154.4137,
1363.869,1183.262,
1360.958,1191.4489,
1358.048,1225.3487,
1355.137,1269.726,
1352.227,1313.8286,
1349.316,1360.692,
1346.406,1411.9336,
1343.495,1466.5044,
1340.584,1464.5356,
1337.674,1475.7516,
1334.763,1503.1494,
1331.853,1566.2011,
1328.942,1527.8347,
1326.032,1588.8153,
1323.121,1582.262,
1320.210,1645.3376,
1317.300,1689.6035,
1314.389,1720.931,
1311.479,1756.1091,
1308.568,1784.0401,
1305.657,1801.007,
1302.747,1805.9909,
1299.836,1908.2465,
1296.926,2013.2882,
1294.015,2046.3839,
1291.105,2053.9138,
1288.194,2113.0582,
1285.283,2122.738,
1282.373,2159.3514,
1279.462,2195.4752,
1276.552,2211.3957,
1273.641,2207.6394,
1270.731,2201.8649,
1267.820,2225.6197,
1264.909,2226.101,
1261.999,2177.4171,
1259.088,2168.2959,
1256.178,2196.8695,
1253.267,2166.459,
1250.356,2122.5646,
1247.446,2096.7756,
1244.535,2100.6518,
1241.625,2079.0501,
1238.714,2032.3068,
1235.804,2026.5753,
1232.893,1997.619,
1229.982,2023.3395,
1227.072,1981.6951,
1224.161,1998.9221,
1221.251,1966.2691,
1218.340,1915.5291,
1215.430,1905.7607,
1212.519,1895.2813,
1209.608,1861.1187,
1206.698,1831.2817,
1203.787,1800.2827,
1200.877,1800.3132,
1197.966,1841.6745,
1195.055,1875.3202,
1192.145,1997.2082,
1189.234,2111.0099,
1186.324,2174.1158,
1183.413,2197.1662,
1180.503,2204.099,
1177.592,2194.4366,
1174.681,2147.2877,
1171.771,2101.3076,
1168.860,2038.7914,
1165.950,2060.9701,
1163.039,2064.9564,
1160.129,2051.9529,
1157.218,2073.5556,
1154.307,2122.8172,
1151.397,2161.6558,
1148.486,2199.4907,
1145.576,2252.2444,
1142.665,2194.5301,
1139.754,2192.1909,
1136.844,2146.53,
1133.933,2130.269,
1131.023,2088.8451,
1128.112,2050.1056,
1125.202,2075.2717,
1122.291,2092.1152,
1119.380,2067.0531,
1116.470,2097.9416,
1113.559,2085.5118,
1110.649,2068.3079,
1107.738,2064.4291,
1104.828,2051.7704,
1101.917,2032.8211,
1099.006,2035.9975,
1096.096,2025.9224,
1093.185,1996.0703,
1090.275,2067.3936,
1087.364,2067.5969,
1084.453,2078.8738,
1081.543,2083.6709,
1078.632,2071.6902,
1075.722,2071.4933,
1072.811,2060.8192,
1069.901,2047.7203,
1066.990,2065.3416,
1064.079,2088.1239,
1061.169,2103.9299,
1058.258,2115.6788,
1055.348,2126.6896,
1052.437,2132.4381,
1049.527,2125.6493,
1046.616,2123.0428,
1043.705,2146.6437,
1040.795,2149.919,
1037.884,2144.2098,
1034.974,2141.4948,
1032.063,2139.6501,
1029.153,2129.9577,
1026.242,2131.6876,
1023.331,2150.0822,
1020.421,2192.0906,
1017.510,2223.8774,
1014.600,2250.1296,
1011.689,2256.9218,
1008.778,2229.2949,
1005.868,2255.5261,
1002.957,2230.5758,
1000.047,2303.19,
997.136,2412.8009,
994.226,2464.8424,
991.315,2441.7005,
988.404,2396.4269,
985.494,2363.002,
982.583,2329.5963,
979.673,2321.0918,
976.762,2305.0724,
973.852,2284.5838,
970.941,2273.8247,
968.030,2281.6055,
965.120,2297.6712,
962.209,2278.9153,
959.299,2324.6192,
956.388,2346.9899,
953.477,2341.7625,
950.567,2350.3111,
947.656,2401.3017,
944.746,2390.2574,
941.835,2400.2776,
938.925,2395.5114,
936.014,2370.5053,
933.103,2354.6933,
930.193,2358.3566,
927.282,2335.7876,
924.372,2318.0299,
921.461,2323.114,
918.551,2314.1313,
915.640,2282.3781,
912.729,2261.7526,
909.819,2291.5276,
906.908,2289.8427,
903.998,2308.8387,
901.087,2308.658,
898.176,2298.5921,
895.266,2309.4765,
892.355,2347.5512,
889.445,2335.8014,
886.534,2358.2915,
883.624,2354.676,
880.713,2345.1361,
877.802,2301.8843,
874.892,2194.3484,
871.981,2028.3704,
869.071,1842.9087,
866.160,1897.6849,
863.250,2059.4135,
860.339,2213.3489,
857.428,2290.1326,
854.518,2288.2355,
851.607,2166.7534,
848.697,2103.1053,
845.786,2051.0551,
842.875,2103.593,
839.965,2267.6289,
837.054,2313.8385,
834.144,2410.8025,
831.233,2465.0808,
828.323,2468.4074,
825.412,2450.5304,
822.501,2445.6862,
819.591,2456.4294,
816.680,2425.4999,
813.770,2392.0634,
810.859,2351.0293,
807.949,2324.9866,
805.038,2336.7588,
802.127,2320.2963,
799.217,2279.2443,
796.306,2268.0203,
793.396,2292.7197,
790.485,2326.0125,
787.574,2316.4662,
784.664,2335.3287,
781.753,2348.1438,
778.843,2340.0079,
775.932,2340.33,
773.022,2364.9173,
770.111,2327.3087,
767.200,2351.3959,
764.290,2359.1721,
761.379,2366.6274,
758.469,2367.6589,
755.558,2327.379,
752.648,2381.9574,
749.737,2358.1522,
746.826,2342.5473,
743.916,2333.7433,
741.005,2298.9901,
738.095,2265.7031,
735.184,2186.6687,
732.274,2137.2918,
729.363,2151.6919,
726.452,2222.9359,
723.542,2268.262,
720.631,2291.3926,
717.721,2334.4121,
714.810,2379.6419,
711.899,2398.9678,
708.989,2357.0077,
706.078,2383.193,
703.168,2381.8561,
700.257,2367.2608,
697.347,2353.75,
694.436,2353.9246,
691.525,2360.355,
688.615,2377.4728,
685.704,2375.9577,
682.794,2374.1541,
679.883,2415.8673,
676.973,2440.7098,
674.062,2441.2834,
671.151,2425.6001,
668.241,2409.703,
665.330,2410.8214,
662.420,2370.0861,
659.509,2382.7027,
656.598,2382.2003,
653.688,2373.1114,
650.777,2396.2379,
647.867,2351.6435,
644.956,2332.4627,
642.046,2310.9953,
639.135,2290.2173,
636.224,2296.0763,
633.314,2361.1792,
630.403,2407.3105,
627.493,2421.9889,
624.582,2407.9826,
621.672,2386.5987,
618.761,2425.2668,
615.850,2466.4014,
612.940,2488.7254,
610.029,2488.7228,
607.119,2500.5673,
604.208,2558.5511,
601.297,2592.2189,
598.387,2587.5585,
595.476,2551.2356,
592.566,2566.9769,
589.655,2561.9753,
586.745,2564.2595,
583.834,2579.5571,
580.923,2603.6647,
578.013,2589.5395,
575.102,2549.0403,
572.192,2543.5444,
569.281,2580.0786,
566.371,2565.2088,
563.460,2575.0375,
560.549,2581.2118,
557.639,2598.0581,
554.728,2638.7646,
551.818,2623.1583,
548.907,2598.4205,
545.996,2592.137,
543.086,2609.2862,
540.175,2634.9815,
537.265,2653.4084,
534.354,2642.1908,
531.444,2629.2085,
528.533,2639.536,
525.622,2622.4652,
522.712,2598.7271,
519.801,2568.5654,
516.891,2552.6444,
513.980,2611.4909,
511.070,2570.9674,
508.159,2588.045,
505.248,2618.9873,
502.338,2594.2863,
499.427,2646.7708,
496.517,2658.4874,
493.606,2650.0202,
490.695,2642.0992,
487.785,2680.5888,
484.874,2681.5802,
481.964,2653.8333,
479.053,2621.5079,
476.143,2633.0273,
473.232,2621.5201,
470.321,2625.0218,
467.411,2628.1783,
464.500,2612.2542,
461.590,2632.1635,
458.679,2642.7027,
455.769,2644.8596,
452.858,2645.9993,
449.947,2696.4188,
447.037,2678.839,
444.126,2662.5985,
441.216,2666.1469,
438.305,2668.4327,
435.395,2670.7169,
432.484,2664.6652,
429.573,2641.9699,
426.663,2587.2397,
423.752,2365.1553,
420.842,2093.5558,
417.931,1853.4462,
415.020,1750.3095,
412.110,2211.3243,
409.199,2509.3782,
406.289,2624.3015,
403.378,2567.6732,
400.468,2544.9933,
397.557,2536.2076,
394.646,2580.0001,
391.736,2703.1363,
388.825,2715.204,
385.915,2695.3335,
383.004,2677.3199,
380.094,2684.9017,
377.183,2707.476,
374.272,2725.6912,
371.362,2764.0054,
368.451,2829.9719,
365.541,2800.701,
362.630,2803.6748,
359.719,2804.1669,
356.809,2783.2063,
353.898,2774.2207,
350.988,2802.1293,
348.077,2817.8761,
345.167,2793.4473,
342.256,2787.4707,
339.345,2784.6871,
336.435,2791.245,
333.524,2810.5856,
330.614,2805.3695,
327.703,2838.6616,
324.793,2876.9058,
321.882,2891.7698,
318.971,2899.9477,
316.061,2904.2149,
313.150,2917.5285,
310.240,2955.3765,
307.329,3025.3551,
304.418,3074.6358,
301.508,3108.0362,
298.597,3135.4316,
295.687,3126.9142,
292.776,3167.5836,
289.866,3253.8581,
286.955,3358.7571,
284.044,3454.7099,
281.134,3570.2533,
278.223,3694.2947,
275.313,3745.8745,
272.402,3787.5379,
269.492,3787.8872,
266.581,3736.3357,
263.670,3674.5806,
260.760,3786.8234,
257.849,3944.5007,
254.939,4055.317,
252.028,3999.5663,
249.117,4004.246,
246.207,4040.2959,
243.296,4057.8647,
240.386,4063.015,
237.475,4075.5072,
234.565,4084.5826,
231.654,4032.7253,
228.743,3983.2003,
225.833,3908.4058,
222.922,3800.1001,
220.012,3743.2727,
217.101,3714.445,
214.191,3691.0735,
211.280,3648.8807,
208.369,3585.8696,
205.459,3537.586,
202.548,3517.1484,
199.638,3565.7669,
196.727,3521.5857,
193.816,3473.9234,
190.906,3453.1597,
187.995,3379.3092,
185.085,3364.1528,
182.174,3374.5747,
179.264,3370.2381,
176.353,3355.6529,
173.442,3380.0176,
170.532,3427.5932,
167.621,3349.0069,
164.711,3247.8637,
161.800,3106.1986,
158.890,2902.5157,
155.979,2690.0753,
153.068,2474.8608,
150.158,2237.8293,
147.247,1903.2635,
144.337,1587.2922,
141.426,1264.643,
138.516,922.68589,
135.605,657.51925,
132.694,458.62973,
129.784,312.45084,
126.873,198.03007,
123.963,136.6223,
121.052,94.152117,
118.141,59.884821,
115.231,56.907719,
112.320,49.395461,
109.410,39.659158,
106.499,33.961916,
