,PLE8F6~1,
Raman shift [1/cm],Intensity,
2173.010,292.5754,
2170.099,283.23462,
2167.189,303.62916,
2164.278,321.64673,
2161.368,328.49928,
2158.457,341.80549,
2155.546,352.39329,
2152.636,365.98403,
2149.725,366.66779,
2146.815,369.39989,
2143.904,376.60779,
2140.993,397.82801,
2138.083,415.34797,
2135.172,420.60076,
2132.262,414.13292,
2129.351,406.17235,
2126.441,398.96601,
2123.530,403.16328,
2120.619,374.46326,
2117.709,373.38044,
2114.798,341.84602,
2111.888,324.01248,
2108.977,311.149,
2106.067,305.77513,
2103.156,314.41852,
2100.245,276.50063,
2097.335,279.90837,
2094.424,296.5426,
2091.514,286.70693,
2088.603,275.92396,
2085.692,274.54463,
2082.782,275.32729,
2079.871,274.85706,
2076.961,268.88747,
2074.050,251.51818,
2071.140,267.79914,
2068.229,256.11978,
2065.318,267.69674,
2062.408,257.43948,
2059.497,267.51191,
2056.587,251.63986,
2053.676,236.15045,
2050.766,264.95964,
2047.855,261.24369,
2044.944,254.6282,
2042.034,263.99705,
2039.123,257.32155,
2036.213,265.86664,
2033.302,253.15224,
2030.391,242.41545,
2027.481,257.84128,
2024.570,241.74346,
2021.660,227.15042,
2018.749,253.85416,
2015.839,239.24869,
2012.928,247.97147,
2010.017,238.52606,
2007.107,244.45516,
2004.196,251.40475,
2001.286,239.64489,
1998.375,238.6752,
1995.465,235.78036,
1992.554,248.52341,
1989.643,229.2604,
1986.733,243.21579,
1983.822,221.91063,
1980.912,225.03421,
1978.001,210.88962,
1975.090,214.52289,
1972.180,217.5678,
1969.269,202.7614,
1966.359,210.04091,
1963.448,221.11691,
1960.538,223.55755,
1957.627,221.82508,
1954.716,215.67236,
1951.806,206.39421,
1948.895,220.94943,
1945.985,206.97222,
1943.074,216.57386,
1940.164,212.19244,
1937.253,234.55192,
1934.342,229.82461,
1931.432,208.34543,
1928.521,191.91451,
1925.611,178.4546,
1922.700,209.74032,
1919.790,207.30359,
1916.879,187.82524,
1913.968,200.48279,
1911.058,207.65014,
1908.147,183.35987,
1905.237,193.91175,
1902.326,191.71925,
1899.415,200.87561,
1896.505,191.97586,
1893.594,196.49394,
1890.684,195.59159,
1887.773,188.69814,
1884.863,191.22437,
1881.952,174.45766,
1879.041,176.57788,
1876.131,200.67385,
1873.220,192.42473,
1870.310,208.13674,
1867.399,177.02779,
1864.489,198.53894,
1861.578,197.44521,
1858.667,183.22152,
1855.757,213.90931,
1852.846,203.5,
1849.936,195.64015,
1847.025,176.7944,
1844.114,176.70706,
1841.204,199.6993,
1838.293,217.01414,
1835.383,197.57001,
1832.472,196.80261,
1829.562,194.19557,
1826.651,199.07288,
1823.740,196.94826,
1820.830,213.01985,
1817.919,205.46998,
1815.009,197.3626,
1812.098,230.61021,
1809.188,203.54658,
1806.277,251.37128,
1803.366,185.01572,
1800.456,215.99461,
1797.545,224.5,
1794.635,220.62994,
1791.724,202.42222,
1788.813,233.68869,
1785.903,200.84495,
1782.992,210.10954,
1780.082,210.28233,
1777.171,195.49732,
1774.261,183.67496,
1771.350,188.81075,
1768.439,193.83935,
1765.529,201.68524,
1762.618,217.70249,
1759.708,242.66336,
1756.797,230.00757,
1753.887,206.47522,
1750.976,232.42081,
1748.065,236.74117,
1745.155,224.19683,
1742.244,221.48641,
1739.334,222.5,
1736.423,217.55421,
1733.512,222.0488,
1730.602,265.64093,
1727.691,221.92546,
1724.781,231.2436,
1721.870,207.1141,
1718.960,232.38929,
1716.049,242.8559,
1713.138,259.74492,
