,PLE5C1~1,
Wavenumbers [1/cm],Intensity,
2175.920,275.36954,
2173.010,294.87613,
2170.099,277.84424,
2167.189,272.51133,
2164.278,289.90766,
2161.368,286.51724,
2158.457,289.63158,
2155.546,289.82887,
2152.636,295.49735,
2149.725,305.85821,
2146.815,313.20816,
2143.904,307.17797,
2140.993,314.6078,
2138.083,320.11662,
2135.172,331.84561,
2132.262,312.21743,
2129.351,326.31654,
2126.441,322.12253,
2123.530,326.58826,
2120.619,339.32021,
2117.709,300.58394,
2114.798,293.32494,
2111.888,284.35005,
2108.977,298.63329,
2106.067,303.58311,
2103.156,289.17747,
2100.245,275.36496,
2097.335,263.10798,
2094.424,286.54541,
2091.514,269.01205,
2088.603,261.27361,
2085.692,275.19649,
2082.782,274.1863,
2079.871,283.51852,
2076.961,274.21451,
2074.050,272.32652,
2071.140,267.35233,
2068.229,255.35545,
2065.318,282.437,
2062.408,281.46578,
2059.497,285.59525,
2056.587,276.06131,
2053.676,266.92515,
2050.766,303.29577,
2047.855,272.03325,
2044.944,261.83814,
2042.034,268.29403,
2039.123,264.15614,
2036.213,268.29941,
2033.302,274.59216,
2030.391,274.49399,
2027.481,260.67994,
2024.570,279.44587,
2021.660,239.15408,
2018.749,309.62744,
2015.839,267.39272,
2012.928,278.76594,
2010.017,273.375,
2007.107,275.04977,
2004.196,270.20831,
2001.286,291.17,
1998.375,289.19487,
1995.465,274.08214,
1992.554,249.58696,
1989.643,265.68373,
1986.733,269.5557,
1983.822,245.41562,
1980.912,282.07697,
1978.001,238.80728,
1975.090,237.76584,
1972.180,240.89229,
1969.269,229.61922,
1966.359,229.80754,
1963.448,251.90737,
1960.538,244.57934,
1957.627,246.72485,
1954.716,212.40917,
1951.806,240.02725,
1948.895,230.56937,
1945.985,218.93219,
1943.074,247.25325,
1940.164,236.19212,
1937.253,222.23585,
1934.342,216.81939,
1931.432,223.6526,
1928.521,243.11593,
1925.611,254.14117,
1922.700,238.9634,
1919.790,222.31733,
1916.879,232.46826,
1913.968,225.38484,
1911.058,270.384,
1908.147,249.86545,
1905.237,209.16178,
1902.326,210.83723,
1899.415,193.4067,
1896.505,179.58573,
1893.594,191.17693,
1890.684,210.98293,
1887.773,221.90029,
1884.863,237.73719,
1881.952,249.92988,
1879.041,241.75817,
1876.131,250.40506,
1873.220,221.12266,
1870.310,255.36148,
1867.399,273.1351,
1864.489,194.90633,
1861.578,254.66642,
1858.667,224.56065,
1855.757,208.35352,
1852.846,228.3545,
1849.936,212.14277,
1847.025,208.72536,
1844.114,227.61738,
1841.204,247.39598,
