,PLA16D~1,
Raman shift [1/cm],Intensity,
3014.167,-1.125,
3011.256,0.67495705,
3008.346,94.576345,
3005.435,95.761929,
3002.525,119.55509,
2999.614,98.538645,
2996.704,109.32654,
2993.793,113.875,
2990.882,117.26429,
2987.972,101.09193,
2985.061,132.34789,
2982.151,124.92038,
2979.240,131.39307,
2976.329,133.64275,
2973.419,142.32121,
2970.508,151.5916,
2967.598,146.01476,
2964.687,138.90421,
2961.777,138.0971,
2958.866,148.53771,
2955.955,168.29312,
2953.045,166.62669,
2950.134,167.95952,
2947.224,175.78959,
2944.313,176.47044,
2941.403,194.78011,
2938.492,178.16226,
2935.581,182.39647,
2932.671,194.95223,
2929.760,187.29039,
2926.850,183.39756,
2923.939,200.43105,
2921.028,193.06891,
2918.118,201.61429,
2915.207,199.40669,
2912.297,204.86231,
2909.386,206.84581,
2906.476,201.32443,
2903.565,195.61722,
2900.654,206.1682,
2897.744,192.83728,
2894.833,195.23573,
2891.923,206.1186,
2889.012,201.95593,
2886.102,195.37772,
2883.191,190.87028,
2880.280,173.12859,
2877.370,142.18904,
2874.459,129.74312,
2871.549,165.26978,
2868.638,189.83168,
2865.727,209.0558,
2862.817,200.78944,
2859.906,199.90064,
2856.996,204.88859,
2854.085,217.71957,
2851.175,194.59183,
2848.264,207.23283,
2845.353,199.85343,
2842.443,192.48614,
2839.532,199.17341,
2836.622,200.903,
2833.711,194.08223,
2830.801,194.27794,
2827.890,212.45539,
2824.979,194.66502,
2822.069,200.93186,
2819.158,208.53538,
2816.248,212.875,
2813.337,205.42134,
2810.427,205.22073,
2807.516,213.08359,
2804.605,210.28365,
2801.695,208.48026,
2798.784,214.20969,
2795.874,212.86443,
2792.963,213.23191,
2790.052,228.8705,
2787.142,214.638,
2784.231,207.10014,
2781.321,220.68066,
2778.410,204.5349,
2775.500,206.875,
2772.589,204.37576,
2769.678,222.37326,
2766.768,208.77206,
2763.857,222.50699,
2760.947,224.8687,
2758.036,210.32078,
2755.126,224.44551,
2752.215,222.6204,
2749.304,213.64119,
2746.394,221.05037,
2743.483,226.82503,
2740.573,219.21348,
2737.662,223.42826,
2734.751,218.52554,
2731.841,213.19917,
2728.930,235.12071,
2726.020,227.85937,
2723.109,230.94691,
2720.199,214.24682,
2717.288,233.20713,
2714.377,227.94188,
2711.467,227.39918,
2708.556,242.74742,
2705.646,231.42427,
2702.735,239.05284,
2699.825,248.89681,
2696.914,250.30364,
2694.003,248.77418,
2691.093,246.39246,
2688.182,243.51204,
2685.272,234.95466,
2682.361,239.42194,
2679.450,237.08902,
2676.540,235.05792,
2673.629,238.56561,
2670.719,239.43693,
2667.808,244.92364,
2664.898,244.99173,
2661.987,257.27507,
2659.076,252.0194,
2656.166,261.27763,
2653.255,254.35629,
2650.345,255.65903,
2647.434,258.61778,
2644.524,256.64719,
2641.613,260.61793,
2638.702,279.59094,
2635.792,257.71847,
2632.881,256.41077,
2629.971,263.47237,
2627.060,273.70781,
2624.149,278.33437,
2621.239,264.59684,
2618.328,264.04455,
2615.418,272.18864,
