,PLFD33~1,
Raman shift [1/cm],Intensity,
2175.920,1158.1915,
2173.010,1182.3257,
2170.099,1200.3567,
2167.189,1266.7542,
2164.278,1286.0923,
2161.368,1306.9092,
2158.457,1365.1608,
2155.546,1405.4279,
2152.636,1444.5557,
2149.725,1495.578,
2146.815,1551.9232,
2143.904,1545.5506,
2140.993,1605.7626,
2138.083,1599.2603,
2135.172,1593.1712,
2132.262,1606.4014,
2129.351,1615.3595,
2126.441,1564.2656,
2123.530,1548.0301,
2120.619,1486.5428,
2117.709,1410.6395,
2114.798,1346.3595,
2111.888,1299.4138,
2108.977,1228.3932,
2106.067,1138.4045,
2103.156,1160.7369,
2100.245,1121.6181,
2097.335,1107.6145,
2094.424,1077.9658,
2091.514,1057.5578,
2088.603,1053.708,
2085.692,1054.6286,
2082.782,1043.1271,
2079.871,1032.9821,
2076.961,1020.4645,
2074.050,1041.0614,
2071.140,1053.3259,
2068.229,1056.8412,
2065.318,1031.466,
2062.408,1039.9125,
2059.497,1026.0357,
2056.587,1053.0316,
2053.676,1021.7942,
2050.766,1016.3171,
2047.855,1008.7421,
2044.944,984.34453,
2042.034,1016.6481,
2039.123,1012.8674,
2036.213,1020.7049,
2033.302,1015.2987,
2030.391,1019.2523,
2027.481,1025.0395,
2024.570,1049.6959,
2021.660,1024.458,
2018.749,1046.511,
2015.839,1042.9524,
2012.928,1040.2341,
2010.017,1035.5609,
2007.107,1021.3241,
2004.196,1029.0893,
2001.286,1033.6674,
1998.375,1030.6663,
1995.465,1033.1312,
1992.554,1009.2076,
1989.643,1039.4153,
1986.733,1020.3039,
1983.822,1010.8163,
1980.912,995.59594,
1978.001,1019.8031,
1975.090,1022.3914,
1972.180,1029.8325,
1969.269,1026.4555,
1966.359,1030.571,
1963.448,1015.5537,
1960.538,994.20632,
1957.627,1032.5322,
1954.716,1011.4006,
1951.806,1011.6682,
1948.895,1033.1553,
1945.985,1030.7573,
1943.074,979.78368,
1940.164,985.80788,
1937.253,1018.2725,
1934.342,1036.0779,
1931.432,1004.6471,
1928.521,1001.2105,
1925.611,1015.3912,
1922.700,974.096,
1919.790,1002.243,
1916.879,987.22924,
1913.968,1004.6016,
1911.058,993.47486,
1908.147,1016.171,
1905.237,992.03675,
1902.326,993.53609,
1899.415,1005.7835,
1896.505,987.58285,
1893.594,998.34759,
1890.684,1010.723,
1887.773,1021.1334,
1884.863,1024.0737,
1881.952,1015.6501,
1879.041,1008.0861,
1876.131,1025.3557,
1873.220,1007.8329,
1870.310,1027.8312,
1867.399,1018.8009,
1864.489,1020.3649,
1861.578,1032.9276,
1858.667,982.46629,
1855.757,1018.9949,
1852.846,1048.6045,
1849.936,1048.4148,
1847.025,1059.3963,
1844.114,1026.0038,
1841.204,1036.4117,
1838.293,1053.6283,
1835.383,1075.1245,
1832.472,1066.1589,
1829.562,1084.3143,
1826.651,1073.4875,
1823.740,1066.6327,
1820.830,1085.0582,
1817.919,1087.1819,
1815.009,1092.6186,
1812.098,1077.4675,
1809.188,1030.6018,
1806.277,1075.5405,
1803.366,1093.3588,
1800.456,1077.2953,
1797.545,1076.6957,
1794.635,1120.8199,
1791.724,1097.3044,
1788.813,1159.0024,
1785.903,1105.9776,
1782.992,1134.9945,
1780.082,1074.9894,
1777.171,1116.2947,
1774.261,1135.2902,
1771.350,1149.0208,
1768.439,1134.3037,
1765.529,1132.7195,
1762.618,1170.1188,
1759.708,1151.9073,
1756.797,1114.2462,
1753.887,1161.5259,
1750.976,1153.8626,
1748.065,1153.8047,
1745.155,1179.0959,
1742.244,1150.5046,
1739.334,1162.6979,
1736.423,1188.3427,
1733.512,1192.1697,
1730.602,1206.5853,
1727.691,1220.0693,
1724.781,1215.5458,
1721.870,1183.8486,
1718.960,1238.2924,
1716.049,1219.744,
1713.138,1249.5348,
1710.228,1261.7171,
1707.317,1252.8947,
1704.407,1264.2026,
1701.496,1272.0058,
1698.586,1302.1925,
1695.675,1299.0107,
1692.764,1290.1045,
1689.854,1345.1132,
1686.943,1344.7262,
1684.033,1390.4577,
1681.122,1352.3047,
1678.211,1402.1396,
1675.301,1444.4955,
1672.390,1430.7446,
1669.480,1470.6972,
1666.569,1480.0694,
1663.659,1515.5233,
1660.748,1569.49,
1657.837,1563.9153,
1654.927,1622.9136,
1652.016,1676.6736,
1649.106,1679.9959,
1646.195,1734.8648,
1643.285,1745.2175,
1640.374,1770.2905,
1637.463,1755.868,
1634.553,1825.354,
1631.642,1940.9942,
1628.732,1975.0102,
1625.821,2039.6872,
1622.911,2134.0897,
1620.000,2276.8108,
1617.089,2388.3961,
1614.179,2492.6639,
1611.268,2666.0445,
1608.358,2733.6283,
1605.447,2847.883,
1602.536,2897.4918,
1599.626,2943.8618,
1596.715,2956.701,
1593.805,2942.4214,
1590.894,2916.8469,
1587.984,2871.1865,
1585.073,2807.6203,
1582.162,2804.3041,
1579.252,2788.4407,
1576.341,2720.5399,
1573.431,2699.1428,
1570.520,2714.4413,
1567.610,2695.7815,
1564.699,2652.8236,
1561.788,2623.428,
1558.878,2592.7283,
1555.967,2538.6818,
1553.057,2463.0393,
1550.146,2427.7086,
1547.235,2385.6635,
1544.325,2350.7076,
1541.414,2334.3639,
1538.504,2318.4318,
1535.593,2309.1904,
1532.683,2296.0589,
1529.772,2272.8439,
1526.861,2245.7505,
1523.951,2207.6163,
1521.040,2172.5419,
1518.130,2163.1975,
1515.219,2136.3064,
1512.309,2092.571,
1509.398,2106.7581,
1506.487,2091.9006,
1503.577,2086.1268,
1500.666,2069.9461,
1497.756,2056.5487,
1494.845,2055.4249,
1491.934,2050.4959,
1489.024,2011.0337,
1486.113,2006.8434,
1483.203,1966.6575,
1480.292,1935.3211,
1477.382,1926.5838,
1474.471,1875.7454,
1471.560,1869.333,
1468.650,1861.6926,
1465.739,1848.2986,
1462.829,1854.9645,
1459.918,1820.0832,
1457.008,1819.1331,
1454.097,1849.3142,
1451.186,1831.654,
1448.276,1825.0148,
1445.365,1852.8398,
1442.455,1862.6315,
1439.544,1858.5105,
1436.633,1816.625,
1433.723,1816.8742,
1430.812,1815.3003,
1427.902,1774.2564,
1424.991,1800.7937,
1422.081,1764.0084,
1419.170,1747.6641,
1416.259,1737.5244,
1413.349,1718.2545,
1410.438,1693.7309,
1407.528,1718.4558,
1404.617,1751.8903,
1401.707,1762.625,
1398.796,1756.4887,
1395.885,1778.1489,
1392.975,1798.7908,
1390.064,1758.2104,
1387.154,1732.2034,
1384.243,1665.2426,
1381.332,1595.9209,
1378.422,1674.4411,
1375.511,1748.4468,
1372.601,1836.2526,
1369.690,1933.6334,
1366.780,1986.6427,
1363.869,1982.0955,
1360.958,2020.8595,
1358.048,2057.8645,
1355.137,2117.0393,
1352.227,2167.1152,
1349.316,2195.0106,
1346.406,2250.0189,
1343.495,2314.3097,
1340.584,2373.6605,
1337.674,2388.9114,
1334.763,2400.6836,
1331.853,2428.5005,
1328.942,2466.9825,
1326.032,2466.7313,
1323.121,2493.7816,
1320.210,2521.6049,
1317.300,2543.0199,
1314.389,2573.7227,
1311.479,2600.3046,
1308.568,2611.2169,
1305.657,2644.316,
1302.747,2716.6688,
1299.836,2744.2959,
1296.926,2829.1632,
1294.015,2862.2589,
1291.105,2916.4575,
1288.194,3023.4679,
1285.283,3069.3891,
1282.373,3107.3671,
1279.462,3152.0755,
1276.552,3195.066,
1273.641,3225.0783,
1270.731,3235.919,
1267.820,3238.9101,
1264.909,3232.6345,
1261.999,3126.0883,
1259.088,3193.5853,
1256.178,3203.6202,
1253.267,3126.3711,
1250.356,3095.8525,
1247.446,3039.2328,
1244.535,2983.7858,
1241.625,2923.2362,
1238.714,2833.2252,
1235.804,2775.4648,
1232.893,2783.6281,
1229.982,2767.2639,
1227.072,2697.5549,
1224.161,2706.9136,
1221.251,2622.5174,
1218.340,2590.6816,
1215.430,2556.5929,
1212.519,2505.176,
1209.608,2472.79,
1206.698,2474.0081,
1203.787,2495.8964,
1200.877,2517.6369,
1197.966,2582.3764,
1195.055,2640.2329,
1192.145,2707.4784,
1189.234,2752.5767,
1186.324,2806.447,
1183.413,2859.4981,
1180.503,2877.8799,
1177.592,2862.534,
1174.681,2853.2175,
1171.771,2835.2856,
1168.860,2777.2348,
1165.950,2736.1483,
1163.039,2689.2128,
1160.129,2636.6438,
1157.218,2630.8544,
1154.307,2629.7345,
1151.397,2587.4114,
1148.486,2571.2763,
1145.576,2562.1987,
1142.665,2529.346,
1139.754,2517.6751,
1136.844,2451.1971,
1133.933,2414.2409,
1131.023,2425.0925,
1128.112,2439.2686,
1125.202,2440.9776,
1122.291,2471.2355,
1119.380,2433.9281,
1116.470,2464.8166,
1113.559,2482.5435,
1110.649,2529.8448,
1107.738,2527.9774,
1104.828,2497.0547,
1101.917,2494.8681,
1099.006,2519.6972,
1096.096,2509.4424,
1093.185,2490.1264,
1090.275,2527.47,
1087.364,2483.1074,
1084.453,2478.3112,
1081.543,2486.1752,
1078.632,2480.3857,
1075.722,2489.5653,
1072.811,2497.5963,
1069.901,2553.485,
1066.990,2538.225,
1064.079,2562.2066,
1061.169,2598.8217,
1058.258,2631.6,
1055.348,2653.5646,
1052.437,2647.9979,
1049.527,2585.7733,
1046.616,2641.3783,
1043.705,2646.0835,
1040.795,2660.3106,
1037.884,2678.234,
1034.974,2700.6598,
1032.063,2717.379,
1029.153,2703.8447,
1026.242,2730.6584,
1023.331,2749.1239,
1020.421,2744.9569,
1017.510,2738.2633,
1014.600,2764.3842,
1011.689,2813.3174,
1008.778,2848.4742,
1005.868,2912.2428,
1002.957,2981.0711,
1000.047,3106.649,
997.136,3185.4519,
994.226,3220.8864,
991.315,3217.7933,
988.404,3165.7362,
985.494,3082.7427,
982.583,3043.3411,
979.673,3001.0427,
976.762,2965.9022,
973.852,2963.0013,
970.941,2978.3286,
968.030,2973.1163,
965.120,2947.6322,
962.209,2949.3372,
959.299,3001.3272,
956.388,3000.7864,
953.477,2982.3919,
950.567,2989.5134,
947.656,3011.3941,
944.746,2986.757,
941.835,3011.539,
938.925,3031.4441,
936.014,3036.0959,
933.103,3030.0941,
930.193,3014.4362,
927.282,2976.021,
924.372,2946.4248,
921.461,2946.307,
918.551,2913.9309,
915.640,2873.0522,
912.729,2853.3086,
909.819,2854.3975,
906.908,2807.2217,
903.998,2852.3469,
901.087,2888.8122,
898.176,2910.7373,
895.266,2924.386,
892.355,2942.0068,
889.445,2981.4524,
886.534,2994.1481,
883.624,3017.4828,
880.713,3050.591,
877.802,3060.1189,
874.892,3029.6388,
871.981,2998.2502,
869.071,2982.3773,
866.160,3016.1929,
863.250,3037.867,
860.339,3025.0843,
857.428,2990.1814,
854.518,2977.0452,
851.607,3026.1373,
848.697,2995.4194,
845.786,2988.0043,
842.875,2990.634,
839.965,2982.6543,
837.054,3005.4854,
834.144,2993.0542,
831.233,2995.2913,
828.323,2978.8313,
825.412,2960.5909,
822.501,2960.6888,
819.591,2949.9456,
816.680,2902.3493,
813.770,2876.8419,
810.859,2864.1126,
807.949,2844.2932,
805.038,2809.0144,
802.127,2828.7694,
799.217,2849.2598,
796.306,2824.4085,
793.396,2808.022,
790.485,2821.3096,
787.574,2828.1232,
784.664,2841.245,
781.753,2835.5732,
778.843,2829.6647,
775.932,2846.7605,
773.022,2893.4289,
770.111,2917.9563,
767.200,2892.9791,
764.290,2847.0629,
761.379,2834.592,
758.469,2854.2767,
755.558,2840.9442,
752.648,2818.1353,
749.737,2827.3336,
746.826,2784.2731,
743.916,2687.2543,
741.005,2575.6292,
738.095,2487.1346,
735.184,2267.8276,
732.274,2229.8522,
729.363,2354.3464,
726.452,2551.6379,
723.542,2728.895,
720.631,2776.0874,
717.721,2791.6349,
714.810,2795.0057,
711.899,2795.0606,
708.989,2792.6399,
706.078,2789.4198,
703.168,2764.3362,
700.257,2746.1496,
697.347,2746.3203,
694.436,2758.4903,
691.525,2716.6924,
688.615,2713.9141,
685.704,2740.0731,
682.794,2763.54,
679.883,2743.3367,
676.973,2736.9257,
674.062,2748.3866,
671.151,2757.3783,
668.241,2765.8195,
665.330,2784.188,
662.420,2753.8362,
659.509,2750.7997,
656.598,2760.8472,
653.688,2778.0662,
650.777,2799.49,
647.867,2795.5083,
644.956,2798.3399,
642.046,2768.7009,
639.135,2736.6208,
636.224,2785.6568,
633.314,2792.0083,
630.403,2784.7568,
627.493,2790.1472,
624.582,2820.1021,
621.672,2871.5818,
618.761,2885.784,
615.850,2886.3191,
612.940,2898.311,
610.029,2923.9945,
607.119,2908.2019,
604.208,2927.2154,
601.297,2932.1354,
598.387,2926.3319,
595.476,2923.3733,
592.566,2952.4949,
589.655,2947.2588,
586.745,2907.7755,
583.834,2860.99,
580.923,2851.407,
578.013,2815.3092,
575.102,2819.9647,
572.192,2840.629,
569.281,2861.1558,
566.371,2875.243,
563.460,2889.3234,
560.549,2890.7268,
557.639,2896.5618,
554.728,2923.2308,
551.818,2916.9883,
548.907,2940.0015,
545.996,2949.4044,
543.086,2943.148,
540.175,2959.4996,
537.265,2962.0736,
534.354,2977.174,
531.444,3003.8859,
528.533,3034.6317,
525.622,3020.6647,
522.712,3007.9169,
519.801,3015.3727,
516.891,3048.5803,
513.980,3102.7811,
511.070,3103.3989,
508.159,3129.3239,
505.248,3168.8884,
502.338,3197.7546,
499.427,3236.3462,
496.517,3272.0795,
493.606,3289.2696,
490.695,3279.7037,
487.785,3244.2933,
484.874,3303.2474,
481.964,3329.4889,
479.053,3307.616,
476.143,3269.9858,
473.232,3258.9922,
470.321,3290.1719,
467.411,3311.9359,
464.500,3268.082,
461.590,3246.6413,
458.679,3287.9503,
455.769,3306.776,
452.858,3262.1138,
449.947,3247.5991,
447.037,3253.7264,
444.126,3272.5644,
441.216,3293.4344,
438.305,3286.577,
435.395,3295.4595,
432.484,3291.8732,
429.573,3278.3825,
426.663,3273.0615,
423.752,3268.4405,
420.842,3221.8698,
417.931,3185.647,
415.020,3245.5573,
412.110,3309.8121,
409.199,3352.1849,
406.289,3383.4481,
403.378,3416.4995,
400.468,3379.4558,
397.557,3352.7147,
394.646,3334.3155,
391.736,3320.6693,
388.825,3259.5765,
385.915,3217.6763,
383.004,3218.0407,
380.094,3276.4236,
377.183,3370.4832,
374.272,3452.5314,
371.362,3501.0966,
368.451,3506.9957,
365.541,3546.0236,
362.630,3583.3908,
359.719,3609.4726,
356.809,3618.4891,
353.898,3616.2427,
350.988,3617.7949,
348.077,3612.6552,
345.167,3594.4898,
342.256,3572.0777,
339.345,3604.951,
336.435,3637.4043,
333.524,3632.588,
330.614,3663.1394,
327.703,3668.5178,
324.793,3664.3672,
321.882,3663.6881,
318.971,3689.7086,
316.061,3713.7627,
313.150,3737.9393,
310.240,3764.6554,
307.329,3834.9448,
304.418,3864.9048,
301.508,3862.1111,
298.597,3841.3795,
295.687,3828.7892,
292.776,3897.3754,
289.866,4034.8769,
286.955,4197.3965,
284.044,4388.8698,
281.134,4554.758,
278.223,4695.3068,
275.313,4864.0467,
272.402,4958.2962,
269.492,5040.8653,
266.581,5131.1984,
263.670,5181.1907,
260.760,5263.0124,
257.849,5356.4468,
254.939,5447.4482,
252.028,5462.3781,
249.117,5469.4523,
246.207,5459.6921,
243.296,5413.5738,
240.386,5400.1361,
237.475,5369.5003,
234.565,5303.4678,
231.654,5150.0873,
228.743,5057.7867,
225.833,4968.5003,
222.922,4863.7225,
220.012,4822.9234,
217.101,4788.0335,
214.191,4746.6102,
211.280,4683.321,
208.369,4687.3716,
205.459,4632.9352,
202.548,4547.8841,
199.638,4566.7509,
196.727,4579.8445,
193.816,4585.7219,
190.906,4584.0567,
187.995,4596.3651,
185.085,4622.8492,
182.174,4653.8933,
179.264,4677.0218,
176.353,4680.9066,
173.442,4647.9071,
170.532,4582.3245,
167.621,4528.2513,
164.711,4445.3012,
161.800,4332.9975,
158.890,4184.7336,
155.979,3960.5713,
153.068,3633.3944,
150.158,3222.8708,
147.247,2783.484,
144.337,2261.2615,
141.426,1756.4123,
138.516,1317.6748,
135.605,931.75198,
132.694,633.07072,
129.784,412.47231,
126.873,268.01609,
123.963,184.56334,
121.052,133.70988,
118.141,108.72331,
115.231,81.623327,
112.320,67.659549,
109.410,62.397803,
106.499,55.988406,
103.589,46.781437,
100.678,37.908783,
97.767,30.799407,
94.857,25.081088,
91.946,23.431222,
89.036,24.512102,
86.125,23.802897,
83.215,25.748681,
80.304,27.146135,
77.393,25.729795,
74.483,21.039055,
71.572,20.074408,
68.662,21.724523,
65.751,12.540658,
62.840,13.478616,
59.930,17.812286,
57.019,18.517368,
54.109,12.056231,
51.198,10.037874,
48.288,15.653312,
45.377,19.170203,
42.466,21.037219,
39.556,20.358696,
36.645,12.634603,
33.735,13.221242,
30.824,16.287661,
27.914,18.391187,
25.003,15.511813,
22.092,11.687573,
19.182,7.9911258,
16.271,19.182968,
13.361,103.28056,
10.450,241.59073,
7.539,409.88473,
4.629,418.5149,
1.718,298.81527,
-1.192,15.774591,
-4.103,-59.265847,
-7.013,-58.229076,
-9.924,1.625,
